"Article","Datapoint","Amniotes","animal","Species","Common.Name","Parameters","Statistics","Estimate","df","df.1","SE","Type","Direction","Formula","Process","N","Maternal","Offspring","Fecundity","Reproduction","Propagule","Environment","Comments","Author","year","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr","RU"
51,232,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.26,NA,NA,NA,NA,"r2","+","13",1,52,"Size","Number","Clutch","it","Egg","Wild","Location 10","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.479370335301786,0.522166427211565,"Single"
51,233,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.92,NA,NA,NA,NA,"r2","+","13",1,24,"Size","Number","Clutch","it","Egg","Wild","Location 11, 1997","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.955186344322904,1.88786393873545,"Single"
51,234,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.89,NA,NA,NA,NA,"r2","+","13",1,32,"Size","Number","Clutch","it","Egg","Wild","Location 11, 1998","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.939368826980887,1.7326543425669,"Single"
51,235,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.92,NA,NA,NA,NA,"r2","+","13",1,31,"Size","Number","Clutch","it","Egg","Wild","Location 12","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.956182887467515,1.89936295440262,"Single"
51,236,"N","Salvelinus_fontinalis","Salvelinus_fontinalis","Brook trout",2,0.8,NA,NA,NA,NA,"r2","+","13",1,25,"Size","Number","Clutch","it","Egg","Wild","Location 13","Koops, M.A., Hutchings, J.A. & McIntyre, T.M.","2004",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus",NA,0.884204830239115,1.39471915890043,"Single"
53,239,"Y","Kinosternon_integrum","Kinosternon_integrum","Mexican mud turtle",NA,0.59,NA,NA,NA,NA,"r","+","r",0,57,"Size","Number","Clutch","it","Egg","Wild","","Macip-Rios, R., Robleda, P.B., Casas-Andreu, Arias-Cisneros, M.L & Sustauta-Rodrigues, V.H.","2012",1,"Chordata","Reptilia","Testudines","Kinosternidae","Kinosternon",NA,0.59,0.677666067757962,"Single"
56,247,"N","Trypoxylon_politum","Trypoxylon_politum","Organ pipe mud dauber wasp",NA,0.46,NA,NA,NA,NA,"r","+","r",0,22,"Size","Number","Clutch","it","Egg","Wild","1993","Molumby, A.","1996",1,"Arthropoda","Insecta","Crabronidae","Crabronidae","Trypoxylon",NA,0.46,0.497311287572031,"Single"
56,248,"N","Trypoxylon_politum","Trypoxylon_politum","Organ pipe mud dauber wasp",NA,0.39,NA,NA,NA,NA,"r","+","r",0,29,"Size","Number","Clutch","it","Egg","Wild","1994","Molumby, A.","1996",1,"Arthropoda","Insecta","Crabronidae","Crabronidae","Trypoxylon",NA,0.39,0.41180003447869,"Single"
57,249,"N","Buccinum_undatum","Buccinum_undatum","Whelk",2,0.7,NA,NA,NA,NA,"r2","+","13",1,39,"Size","Number","Clutch","it","Egg","Captive","","Nasution, S., Roberts, D., Farnsworth, K., Parker, G.A. & Elwood, R.W.","2010",1,"Mollusca","Gastropoda","Caenogastropoda","Buccinidae","Buccinum",NA,0.82663978450915,1.17743088720177,"Single"
58,251,"Y","Gallus_gallus","Gallus_gallus","Red Junglefowl",3,0.01,NA,NA,NA,NA,"r2","+","r",0,66,"Weight","Number","Clutch","it","Egg","Captive","","Parker, T.H.","2002",1,"Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,0.1,0.100335347731076,"Single"
60,255,"Y","Bothrops_neuwiedi","Bothrops_neuwiedi","Southern Brazilian pitviper",2,0.669,NA,NA,NA,NA,"r2","+","13",1,13,"Size","Number","Clutch","it","Offspring","Wild","","Hartmann, M.T., Marques, O.A.V. & Almeida-Santos, S.M.","2004",1,"Chordata","Reptilia","Squamata","Viperidae","Bothrops",NA,0.776401957751267,1.03624761992997,"Single"
61,256,"N","Perca_flavescens","Perca_flavescens","Yellow perch",NA,0.453,NA,NA,NA,NA,"r","+","r",0,10,"Size","Number","Clutch","it","Egg","Captive","","Heyer, C.J., Miller, T.J., Binkowski, F.P., Caldarone, E.M. & Rice, J.A.","2001",1,"Chordata","Actinopterygii","Perciformes","Percidae","Perca",NA,0.453,0.488468430574151,"Single"
62,258,"N","Pseudopleuronectes_yokohamae","Pseudopleuronectes_yokohamae","Marbled sole",NA,0.84,NA,NA,NA,NA,"r","+","r",0,20,"Size","Number","Clutch","it","Egg","Wild","","Higashitani, T., Takatsu, T., Nakaya, M., Joh, M. & Takahashi, T.","2007",1,"Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",NA,0.84,1.2211735176846,"Single"
63,261,"Y","Naja_atra","Naja_atra","Chinese cobra",2,0.53,NA,NA,NA,NA,"r2","+","13",1,50,"Size","Number","Clutch","it","Egg","Wild","","Ji, X. & Du, W.G., Qu, Y.F. & Lin, L.H.","2009",1,"Chordata","Reptilia","Squamata","Elapidae","Naja",NA,0.714142842854285,0.895588099529976,"Single"
65,266,"N","Elasmucha_signoreti","Elasmucha_signoreti","Shield bug",NA,0.324,NA,NA,NA,NA,"r","+","r",0,24,"Size","Number","Clutch","it","Egg","Wild","","Kudo S","2006",1,"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha",NA,0.324,0.336109830226995,"Single"
66,269,"N","Porcellio_laevis","Porcellio_laevis","Common woodlouse",2,0.65,NA,NA,NA,NA,"r2","+","13",1,80,"Weight","Number","Clutch","it","Egg","Wild","Control","Lardies, M.A., Carter, M.J, Bozinovic, F","2004",1,"Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio",NA,0.800567980192245,1.10019200662232,"Single"
68,271,"Y","Liasis_fuscus","Liasis_fuscus","Water pythons",NA,0.74,NA,NA,NA,NA,"Path coefficients","+","r",0,55,"Size","Number","Clutch","it","Offspring","Wild","1991","Madsen, T. & Shine, R.","1996",1,"Chordata","Reptilia","Squamata","Pythonidae","Liasis",NA,0.74,0.950479380596523,"Single"
68,273,"Y","Liasis_fuscus","Liasis_fuscus","Water pythons",NA,0.69,NA,NA,NA,NA,"Path coefficients","+","r",0,55,"Size","Number","Clutch","it","Offspring","Wild","1992","Madsen, T. & Shine, R.","1996",1,"Chordata","Reptilia","Squamata","Pythonidae","Liasis",NA,0.69,0.847955755218963,"Single"
69,276,"N","Gambusia_affinis","Gambusia_affinis","Western mosquitofish",2,0.5,NA,NA,NA,NA,"r2","+","13",1,23,"Size","Number","Clutch","it","Egg","Wild","","Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.","2005",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,0.670820393249937,0.812233259624081,"Single"
69,275,"N","Gambusia_geiseri","Gambusia_geiseri","Largespring gambusia",2,0.26,NA,NA,NA,NA,"r2","+","13",1,26,"Size","Number","Clutch","it","Egg","Wild","","Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.","2005",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia",NA,0.442325868464691,0.475118738933431,"Single"
73,281,"N","Tityus_sp","Tityus_sp","Brazilian black scorpion",2,0.194,NA,NA,NA,NA,"r2","+","13",1,35,"Size","Number","Clutch","it","Offspring","Wild","","Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R.","2009",1,"Arthropoda","Arachnida","Scorpiones","Buthidae","Tityus",NA,0.378978891232744,0.39886674872314,"Single"
73,282,"N","Tityus_sp","Tityus_sp","Brazilian yellow scorpion",2,0.1,NA,NA,NA,NA,"r2","+","SQRT R2",1,10,"Size","Number","Clutch","it","Offspring","Wild","","Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R.","2009",1,"Arthropoda","Arachnida","Scorpiones","Buthidae","Tityus",NA,0.316227766016838,0.327450150237258,"Single"
73,283,"N","Tityus_sp","Tityus_sp","Brazilian scorpion",2,0.733,NA,NA,NA,NA,"r2","+","13",1,9,"Size","Number","Clutch","it","Offspring","Wild","","Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R.","2009",1,"Arthropoda","Arachnida","Scorpiones","Buthidae","Tityus",NA,0.802496105909555,1.10558470385664,"Single"
74,284,"Y","Calotes_versicolor","Calotes_versicolor","Oriental garden lizard",NA,0.71,NA,NA,NA,NA,"r","+","r",0,25,"Size","Number","Clutch","it","Egg","Wild","","Radder, R.S. & Shanbhag, B.A.","2004",1,"Chordata","Reptilia","Squamata","Agamidae","Calotes",NA,0.71,0.887183863258093,"Single"
75,286,"Y","Chrysemys_picta","Chrysemys_picta","Western painted turtles ",NA,0.47,NA,NA,NA,NA,"r","+","r",0,88,"Size","Number","Clutch","it","Egg","Wild","Beem Lake, Chrysemys_picta_bellii","Rowe, J.W.","1994",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.47,0.510070336613307,"Single"
75,287,"Y","Chrysemys_picta","Chrysemys_picta","Western painted turtles ",NA,0.3,NA,NA,NA,NA,"r","+","r",0,69,"Size","Number","Clutch","it","Egg","Wild","Swan Lake, Chrysemys_picta_bellii","Rowe, J.W.","1994",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.3,0.309519604203112,"Single"
75,288,"Y","Chrysemys_picta","Chrysemys_picta","Western painted turtles ",NA,0.52,NA,NA,NA,NA,"r","+","r",0,35,"Size","Number","Clutch","it","Egg","Wild","Dobbins' Ponds, Chrysemys_picta_bellii","Rowe, J.W.","1994",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.52,0.576339754969193,"Single"
75,289,"Y","Chrysemys_picta","Chrysemys_picta","Western painted turtles ",NA,0.22,NA,NA,NA,NA,"r","+","r",0,40,"Size","Number","Clutch","it","Egg","Wild","Hansen's Lake, Chrysemys_picta_bellii","Rowe, J.W.","1994",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.22,0.223656109021832,"Single"
79,301,"Y","Rankinia_diemensis","Rankinia_diemensis","Mountain dragon",2,0.256,NA,NA,NA,NA,"r2","+","13",1,90,"Size","Number","Clutch","it","Egg","Wild","","Stuart-Smith, J., Swain, R., Stuart-Smith, R.D. & Wapstra, E.","2007",1,"Chordata","Reptilia","Squamata","Agamidae","Rankinia",NA,0.488770448906374,0.534443573750194,"Single"
80,302,"N","Anthidium_septemspinosum","Anthidium_septemspinosum","Bee",NA,0.018,NA,NA,NA,NA,"r","+","r",0,14,"Size","Number","Lifetime","se","Egg","Captive","","Sugiura, N.","1994",1,"Arthropoda","Insecta","Hymenoptera","Megachilidae","Anthidium",NA,0.018,0.0180019443780012,"Life"
81,304,"Y","Nerodia_sipedon","Nerodia_sipedon","Northern water snake",NA,0.73,NA,NA,NA,NA,"r","+","r",0,49,"Size","Number","Clutch","it","Offspring","Wild","","Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.","1999",1,"Chordata","Reptilia","Squamata","Colubridae","Nerodia",NA,0.73,0.928727364246725,"Single"
81,305,"Y","Nerodia_sipedon","Nerodia_sipedon","Northern water snake",NA,0.6,NA,NA,NA,NA,"r","+","r",0,28,"Size","Number","Clutch","it","Offspring","Captive","","Weatherhead, P.J., Brown, G.P., Prosser, M.R. & Kissner, K.J.","1999",1,"Chordata","Reptilia","Squamata","Colubridae","Nerodia",NA,0.6,0.693147180559945,"Single"
82,307,"Y","Kinosternon_subrubrum","Kinosternon_subrubrum","Common mud turtle",2,0.07,NA,NA,NA,NA,"r2","+","13",1,635,"Size","Number","Clutch","it","Egg","Wild","","Wilkinson, L.R. & Gibbons, J.W.","2005",1,"Chordata","Reptilia","Testudines","Kinosternidae","Kinosternon",NA,0.25895359048547,0.264986458451259,"Single"
82,311,"Y","Pseudemys_floridana","Pseudemys_floridana","Florida cooter",2,0.36,NA,NA,NA,NA,"r2","+","13",1,79,"Size","Number","Clutch","it","Egg","Wild","","Wilkinson, L.R. & Gibbons, J.W.","2005",1,"Chordata","Reptilia","Testudines","Emydidae","Pseudemys",NA,0.585796803283222,0.671242804128156,"Single"
82,309,"Y","Sternotherus_odoratus","Sternotherus_odoratus","Common musk turtle",2,0.32,NA,NA,NA,NA,"r2","+","13",1,46,"Size","Number","Clutch","it","Egg","Wild","","Wilkinson, L.R. & Gibbons, J.W.","2005",1,"Chordata","Reptilia","Testudines","Kinosternidae","Sternotherus",NA,0.537002879902199,0.599934391638777,"Single"
83,318,"N","Oncorhynchus_kisutch","Oncorhynchus_kisutch","Coho salmon",2,0.68,NA,NA,NA,NA,"r2","+","13",1,330,"Size","Number","Lifetime","se","Egg","Captive","Population 3","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.823433551329831,1.1673896420817,"Life"
83,320,"N","Oncorhynchus_masou","Oncorhynchus_masou","Masu salmon",2,0.35,NA,NA,NA,NA,"r2","+","13",1,149,"Size","Number","Lifetime","se","Egg","Wild","Population 4","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.584034151750528,0.668563485626714,"Life"
83,314,"N","Oncorhynchus_nerka","Oncorhynchus_nerka","Sockeye salmon",2,0.31,NA,NA,NA,NA,"r2","+","13",1,4731,"Size","Number","Lifetime","se","Egg","Captive","Population 1","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.556514260219279,0.6277692520743,"Life"
83,316,"N","Oncorhynchus_nerka","Oncorhynchus_nerka","Sockeye salmon",2,0.61,NA,NA,NA,NA,"r2","+","13",1,160,"Size","Number","Lifetime","se","Egg","Captive","Population 2","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.777837931148744,1.03987305209556,"Life"
83,322,"N","Oncorhynchus_nerka","Oncorhynchus_nerka","Sockeye salmon",2,0.33,NA,NA,NA,NA,"r2","+","13",1,488,"Size","Number","Lifetime","se","Egg","Wild","Population 6","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.572046425914944,0.650559393821707,"Life"
83,323,"N","Oncorhynchus_nerka","Oncorhynchus_nerka","Sockeye salmon",2,0.34,NA,NA,NA,NA,"r2","+","13",1,863,"Size","Number","Lifetime","se","Egg","Captive","Population 7","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.581777548792552,0.665145526820007,"Life"
83,324,"N","Oncorhynchus_nerka","Oncorhynchus_nerka","Sockeye salmon",2,0.45,NA,NA,NA,NA,"r2","+","13",1,1581,"Size","Number","Lifetime","se","Egg","Captive","Population 8","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.670300615457261,0.811288807555,"Life"
83,325,"N","Oncorhynchus_nerka","Oncorhynchus_nerka","Sockeye salmon",2,0.63,NA,NA,NA,NA,"r2","+","13",1,1512,"Size","Number","Lifetime","se","Egg","Captive","Population 9","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.793416415895582,1.08058629791825,"Life"
83,326,"N","Oncorhynchus_tshawytscha","Oncorhynchus_tshawytscha","Chinook salmon",2,0.4,NA,NA,NA,NA,"r2","+","13",1,1902,"Size","Number","Lifetime","se","Egg","Captive","Population 10","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,0.631955764644658,0.744665647222346,"Life"
83,327,"N","Salmo_trutta","Salmo_trutta","Brown trout",2,0.92,NA,NA,NA,NA,"r2","+","13",1,135,"Size","Number","Lifetime","it","Egg","Captive","Population 11","Hendry, A.P., Day, T. & Cooper, A.B.","2001",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo",NA,0.958534234541406,1.92754173742313,"Life"
84,328,"N","Buccinum_undatum","Buccinum_undatum","Whelk",2,0.35,NA,NA,NA,NA,"r2","+","13",1,27,"Size","Number","Clutch","it","Egg","Wild","","Valentinsson, D.","2002",1,"Mollusca","Gastropoda","Caenogastropoda","Buccinidae","Buccinum",NA,0.543905629069357,0.609685432875005,"Single"
85,330,"N","Hogna_helluo","Hogna_helluo","Wolf spider",NA,0.608,NA,NA,NA,NA,"r","+","r",0,17,"Size","Number","Clutch","it","Egg","Captive","","Walker, S.E., Rypstra, A.L. & Marshall, S.D.","2003",1,"Arthropoda","Arachnida","Araneae","Lycosidae","Hogna",NA,0.608,0.705742304974225,"Single"
86,332,"Y","Tropidonophis_mairii","Tropidonophis_mairii","Keelback snake",NA,0.68,NA,NA,NA,NA,"Path coefficients","+","r",0,318,"Size","Number","Clutch","it","Egg","Wild","","Brown, G.P. & Shine, R.","2005",1,"Chordata","Reptilia","Squamata","Colubridae","Tropidonophis",NA,0.68,0.829114038301766,"Single"
88,335,"Y","Naja_atra","Naja_atra","Chinese cobra",NA,0.701,NA,NA,NA,NA,"r","+","r",0,125,"Size","Number","Clutch","it","Egg","Wild","","Ji, X. & Wang, Z.W.","2005",1,"Chordata","Reptilia","Squamata","Elapidae","Naja",NA,0.701,0.869264009502588,"Single"
91,343,"Y","Coronella_austriaca","Coronella_austriaca","Smooth snake",NA,0.77,NA,NA,NA,NA,"r","+","r",0,28,"Size","Number","Clutch","it","Offspring","Wild","","Luiselli, L., Capula, M. & Shine, R.","1996",1,"Chordata","Reptilia","Squamata","Colubridae","Coronella",NA,0.77,1.02032775832234,"Single"
94,351,"Y","Microtus_agrestis","Microtus_agrestis","Field voles",NA,2.17,NA,NA,NA,NA,"x2","+","ES Cal",1,28,"Condition","Number","Clutch","it","Offspring","Captive","p=0.14","Helle, S. Laaksonen, T., Adamsson, A., PAranko, J. & Huitus, O.","2008",1,"Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,0.278388218141501,0.285934031424059,"Single"
95,353,"N","Oncorhynchus_mykiss","Oncorhynchus_mykiss","Rainbow trout",NA,-0.18,NA,NA,NA,NA,"r","+","r",0,10,"Size","Number","Clutch","it","Egg","Captive","","Herbinnger, C.M., Doyle, R.W., Pitman, E.R., Paquet, D., Mesa, K.A., Morris, D.B., Wright, J.M. & Cook, D.","1995",1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus",NA,-0.18,-0.181982688600706,"Single"
97,433,"Y","Chelydra_serpentina","Chelydra_serpentina","Snapping turtle",2,0.4702,NA,NA,NA,NA,"r2","+","13",1,23,"Weight","Number","Clutch","it","Egg","Wild","","Rollison, N.","2012",1,"Chordata","Reptilia","Testudines","Chelydridae","Chelydra",NA,0.645925692320719,0.768275718007655,"Single"
97,435,"Y","Glyptemys_inscupta","Glyptemys_inscupta","Wood turtles",2,0.3222,NA,NA,NA,NA,"r2","+","13",1,25,"Size","Number","Clutch","it","Egg","Wild","","Rollison, N.","2012",1,"Chordata","Reptilia","Testudines","Emydidae","Glyptemys",NA,0.510472152209911,0.56336810694401,"Single"
98,357,"Y","Apodemus_argenteus","Apodemus_argenteus","Small Japanese field mouse",NA,5.15,NA,1,4,NA,"F","+","11",1,44,"Weight","Number","Clutch","it","Offspring","Wild","p=0.029","Shibata, F. & Kawamichi, T.","2009",1,"Chordata","Mammalia","Rodentia","Muridae","Apodemus",NA,0.750227652152761,0.973475625503055,"Single"
99,359,"Y","Chrysemys_picta","Chrysemys_picta","Midland painted turtles",NA,0.57,NA,NA,NA,NA,"r","+","r",0,144,"Size","Number","Clutch","it","Egg","Wild","Chrysemys_picta_marginata","Rowe, J.W., Coval, K.A. & Campbell, K.C.","2003",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.57,0.647522844827373,"Single"
99,363,"Y","Chrysemys_picta","Chrysemys_picta","Midland painted turtles",NA,0.56,NA,NA,NA,NA,"r","+","r",0,144,"Weight","Number","Clutch","it","Egg","Wild","Chrysemys_picta_marginata","Rowe, J.W., Coval, K.A. & Campbell, K.C.","2003",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.56,0.632833186665638,"Single"
100,367,"Y","Ctenophorus_fordi","Ctenophorus_fordi","Mallee dragon",NA,0.51,NA,NA,NA,NA,"r","+","r",0,89,"Size","Number","Lifetime","it","Egg","Wild","","Uller, T. & Olsson, M.","2010",1,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus",NA,0.51,0.562729769352149,"Life"
101,370,"Y","Chrysemys_picta","Chrysemys_picta","Painted turtle ",2,0.127,NA,NA,NA,NA,"r2","+","13",1,87,"Size","Number","Clutch","it","Egg","Wild","","Rollison, N., Brooks, R.J.","2008",1,"Chordata","Reptilia","Testudines","Emydidae","Chrysemys",NA,0.325905332442238,0.33824010874957,"Single"
104,376,"Y","Cavia_aperea","Cavia_aperea","Brazilian guinea pigs",NA,0.24,NA,NA,NA,NA,"r","+","r",0,243,"Weight","Number","Clutch","it","Offspring","Captive","","Kasparian, K., Gei_ler, E. & Trillmich, F.","2005",1,"Chordata","Mammalia","Rodentia","Caviidae","Cavia",NA,0.24,0.244774112659353,"Single"
105,377,"N","Crinia_georgiana","Crinia_georgiana","Quacking frog",NA,0.799,NA,NA,NA,NA,"r","+","r",0,33,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A., Vercoe, P.E. & Roberts, J.D. ","2006",1,"Chordata","Amphibia","Anura","Myobatrachidae","Crinia",NA,0.799,1.09584066294573,"Single"
106,381,"N","Daphnia_magna","Daphnia_magna","Zooplankton",2,0.698,NA,NA,NA,NA,"r2","+","13",1,345,"Size","Number","Clutch","it","Egg","Captive","","Lampert, W.","1993",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia",NA,0.83440632675493,1.20246957215442,"Single"
107,382,"N","Poecilia_butleri","Poecilia_butleri","Pacific molly ",NA,19.61,NA,1,190,NA,"F","+","11",1,220,"Weight","Number","Clutch","it","Egg","Wild","Ancova","Zuniga-Vega, J.J., Suarez-Rodriguez, M., Espinosa-Perez, H. & Johnson, J.B.","2011",1,"Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia",NA,0.305867122812995,0.31597957657923,"Single"
108,384,"Y","Anolis_sagrei","Anolis_sagrei","Brown anole",NA,0.071,NA,NA,NA,NA,"r","+","r",0,96,"Condition","Number","Clutch","it","Egg","Captive","","Cox, R.M., Duryea, M.C., Najarro, M. & Calsbeek, R.","2010",1,"Chordata","Reptilia","Squamata","Dactyloidae","Anolis",NA,0.071,0.0711196658169551,"Single"
109,385,"N","Kingsleyini_ytupora","Kingsleyini_ytupora","Freshwater crab",NA,0.643,NA,NA,NA,NA,"r","+","r",0,20,"Size","Number","Clutch","it","Egg","Wild","","Wehrtmann, I.S., Magalhes, C., Hernandez, P & Mantelatto, F.L.","2010",1,"Arthropoda","Malacostraca","Decapoda","Pseudothelphusidae","Kingsleyini",NA,0.643,0.763271668128815,"Single"
110,438,"N","Bosmina_longirostris","Bosmina_longirostris","Water flea",NA,0.96,NA,NA,NA,NA,"r","+","r",0,41,"Size","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Branchiopoda","Cladocera","Bosminidae","Bosmina",NA,0.96,1.94591014905531,"Single"
110,439,"N","Bosmina_obtusirostris","Bosmina_obtusirostris","Water flea",NA,0.83,NA,NA,NA,NA,"r","+","r",0,42,"Size","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Branchiopoda","Cladocera","Bosminidae","Bosmina",NA,0.83,1.1881364043926,"Single"
110,442,"N","Caprella_sp","Caprella_sp","Skeleton shrimp",NA,0.99,NA,NA,NA,NA,"r","+","r",0,37,"Weight","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella",NA,0.99,2.64665241236225,"Single"
110,443,"N","Caprella_sp","Caprella_sp","Skeleton shrimp",NA,0.94,NA,NA,NA,NA,"r","+","r",0,102,"Weight","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella",NA,0.94,1.73804934491764,"Single"
110,444,"N","Caprella_sp","Caprella_sp","Skeleton shrimp",NA,0.56,NA,NA,NA,NA,"r","+","r",0,28,"Weight","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella",NA,0.56,0.632833186665638,"Single"
110,445,"N","Caprella_sp","Caprella_sp","Japanese skeleton shrimp",NA,0.24,NA,NA,NA,NA,"r","+","r",0,14,"Weight","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella",NA,0.24,0.244774112659353,"Single"
110,446,"N","Caprella_sp","Caprella_sp","Skeleton shrimp",NA,0.27,NA,NA,NA,NA,"r","+","r",0,6,"Weight","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella",NA,0.27,0.2768638226551,"Single"
110,447,"N","Caprella_sp","Caprella_sp","Skeleton shrimp",NA,0.6,NA,NA,NA,NA,"r","+","r",0,9,"Weight","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella",NA,0.6,0.693147180559945,"Single"
110,441,"N","Ceriodaphnia_pulchella","Ceriodaphnia_pulchella","Zooplankton",NA,0.71,NA,NA,NA,NA,"r","+","r",0,20,"Size","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Ceriodaphnia",NA,0.71,0.887183863258093,"Single"
110,455,"N","Crangon_allmani","Crangon_allmani","Brown shrimp",NA,0.75,NA,NA,NA,NA,"r","+","r",0,38,"Size","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon",NA,0.75,0.972955074527657,"Single"
110,440,"N","Daphnia_cristata","Daphnia_cristata","Zooplankton",NA,0.94,NA,NA,NA,NA,"r","+","r",0,25,"Size","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia",NA,0.94,1.73804934491764,"Single"
110,452,"N","Heptacarpus_pusiola","Heptacarpus_pusiola","Cleaner shrimp",NA,0.67,NA,NA,NA,NA,"r","+","r",0,22,"Size","Number","Clutch","it","Egg","Wild","","Ivanova, M.B. & Vassilenko, S.V.","1987",1,"Arthropoda","Malacostraca","Decapoda","Hippolytidae","Heptacarpus",NA,0.67,0.810743125475137,"Single"
