,species,animal,reference,unit,Trait,trait_details,male_mean,male_SD,male_n,female_mean,female_SD,female_n
432,Dendrocopos_leucotos,Dendrocopos_leucotos,Stenberg & Hogstad 2004,NA,length,skull length,66.1,1.3,47,62.8,1.5,48
436,Parus_caeruleus,Parus_caeruleus,Blondel et al. 2002,mm,length,wing length,63.6,1.44,316,60.6,1.15,316
437,Parus_caeruleus,Parus_caeruleus,Blondel et al. 2002,mm,length,wing length,66.8,1.66,301,63.8,1.45,301
440,Parus_caeruleus,Parus_caeruleus,Blondel et al. 2002,g,mass,body mass,9.3,0.39,316,9.2,0.44,316
441,Parus_caeruleus,Parus_caeruleus,Blondel et al. 2002,NA,mass,body mass,11.1,0.18,301,10.9,0.56,301
445,Dendrocopus_medius,Dendrocopos_medius,Pasinelli 2000,NA,mass,body weight,59.5,3.6,25,55,3.5,17
449,Certhia_familiaris,Certhia_familiaris,Tietze & Martens 2009,mm,length,wing length,63.6,1.87,70,61.9,1.73,49
450,Certhia_familiaris,Certhia_familiaris,Tietze & Martens 2009,mm,length,wing length,65,2,79,62.8,2.14,48
451,Certhia_familiaris,Certhia_familiaris,Tietze & Martens 2009,mm,length,wing length,67.4,1.97,14,64.5,0.99,14
452,Certhia_familiaris,Certhia_familiaris,Tietze & Martens 2009,mm,length,wing length,65.4,1.71,106,62.9,2.04,57
455,Certhia_hodgsoni,Certhia_hodgsoni,Tietze & Martens 2009,NA,length,wing length,67.8,1.9,26,65.2,1.81,12
457,Certhia_americana,Certhia_americana,Tietze & Martens 2009,NA,length,wing length,66.2,1.92,78,64.4,2.1,40
459,Certhia_brachydactyla,Certhia_brachydactyla,Tietze & Martens 2009,mm,length,wing length,65.2,2.22,27,63.8,3.54,13
460,Certhia_brachydactyla,Certhia_brachydactyla,Tietze & Martens 2009,NA,length,wing length,63,1.6,50,60.6,1.82,33
461,Certhia_brachydactyla,Certhia_brachydactyla,Tietze & Martens 2009,NA,length,wing length,63.1,1.85,117,60.7,1.68,86
464,Certhia_himalayana,Certhia_himalayana,Tietze & Martens 2009,NA,length,wing length,70.7,2.02,33,67.7,2.08,31
466,Certhia_nipalensis,Certhia_nipalensis,Tietze & Martens 2009,NA,length,wing length,72.1,2.12,25,67.8,1.63,13
468,Certhia_discolor,Certhia_discolor,Tietze & Martens 2009,NA,length,wing length,69.6,2.37,13,67.6,1.64,15
470,Hirundo_rustica,Hirundo_rustica,M_ller 1994,mm,length,wing length,126.6,2.218017132,251,124.6,2.057571384,294
471,Hirundo_rustica,Hirundo_rustica,M_ller 1994,mm,length,wing length,127.3,2.018638155,141,125.2,2.141191257,127
475,Calidris_temmickii,Calidris_temminckii,Lislevand et al. 2009,NA,length,wing length,99.56,2.18,17,102.84,1.44,28
476,Calidris_temmickii,Calidris_temminckii,Lislevand et al. 2009,NA,length,head length,37,0.55,15,37.8,0.58,28
477,Calidris_temmickii,Calidris_temminckii,Lislevand et al. 2009,NA,mass,body mass,24.1,1.17,17,26.5,1.66,29
480,Geospiza_fortis,Geospiza_fortis,Boag 1984,NA,mass,body mass,16.61,1.410673598,199,15.62,1.462326913,66
481,Geospiza_fortis,Geospiza_fortis,Boag 1984,NA,length,wing length,69.5,1.974943037,199,66.8,2.031009601,66
484,Geospiza_scandens,Geospiza_scandens,Boag 1984,NA,mass,body mass,20.88,1.578258534,69,19.88,1.282809417,34
485,Geospiza_scandens,Geospiza_scandens,Boag 1984,NA,length,wing length,74.2,2.076655966,69,71.9,1.516047493,34
489,Thryothorus_ludovicianus,Thryothorus_ludovicianus,Haggerty 2006,NA,mass,body weight,21.2,1.3,134,18.7,5.1,118
490,Thryothorus_ludovicianus,Thryothorus_ludovicianus,Haggerty 2006,NA,length,wing length,59.1,1.5,141,55.3,1.3,131
495,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Martin 2000,NA,length,Wing length,79.48,1.79,194,77.39,2.07,185
496,Carpodacus_mexicanus,Carpodacus_mexicanus,Badyaev & Martin 2000,NA,mass,body mass,21.72,1.54,194,21.86,1.54,185
