Author,Year,Title,DOI,DTIC.link,SA.measure.type,Sample.size,Sample.size.stats,es.z,vi.z,SampleID,Outcome,Comments
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.320545409,0.027027027,Saus2006,138,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.342828254,0.027027027,Saus2006,139,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.342828254,0.027027027,Saus2006,140,Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.354092529,0.027027027,Saus2006,141,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.354092529,0.027027027,Saus2006,142,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.354092529,0.027027027,Saus2006,143,Overall stat; Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.376885901,0.027027027,Saus2006,144,Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.3884231,0.027027027,Saus2006,145,Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.40005965,0.027027027,Saus2006,146,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.411800034,0.027027027,Saus2006,147,Overall stat; Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.484700279,0.027027027,Saus2006,148,Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.497311288,0.027027027,Saus2006,149,Overall stat; Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.497311288,0.027027027,Saus2006,150,Overall stat; Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SABARS,40,40,0.497311288,0.027027027,Saus2006,151,Table 3
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.522984278,0.027027027,Saus2006,152,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.549306144,0.027027027,Saus2006,153,"Overall stat; Table 3, observer did not rate non-SA General trait items"
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.576339755,0.027027027,Saus2006,154,Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.662462707,0.027027027,Saus2006,155,Overall stat; Table 2
Saus,2006,The Effect of Brief Situational Awareness Training in a Police Shooting Simulator: An Experimental Study,10.1207/s15327876mp1803s_2,NA,SARS,40,40,0.693147181,0.027027027,Saus2006,156,Table 2
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SABARS,14,14,-0.229970121,0.090909091,Strater2001,157,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,-0.21735959,0.090909091,Strater2001,158,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,-0.213171347,0.090909091,Strater2001,159,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,-0.146029224,0.090909091,Strater2001,160,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,-0.13990573,0.090909091,Strater2001,161,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,-0.132774772,0.090909091,Strater2001,162,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,-0.125657214,0.090909091,Strater2001,163,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SABARS,14,14,-0.0852056,0.090909091,Strater2001,164,Table H-35. High big pic focus (good SA) 
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.017001638,0.090909091,Strater2001,165,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SABARS,14,14,0.097305953,0.090909091,Strater2001,166,"Table H-35, Pearson?"
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.111459277,0.090909091,Strater2001,167,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.156259498,0.090909091,Strater2001,168,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SABARS,14,14,0.162413138,0.090909091,Strater2001,169,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.167550482,0.090909091,Strater2001,170,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.168578995,0.090909091,Strater2001,171,Table H-35. All coded as +1. High value for SAGAT (accuracy)  is good SA 
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.207946366,0.090909091,Strater2001,172,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.213171347,0.090909091,Strater2001,173,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,Other,14,14,0.266108407,0.090909091,Strater2001,174,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.267181208,0.090909091,Strater2001,175,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.308421065,0.090909091,Strater2001,176,Table H-35
Strater,2001,Measures of platoon leader situation awareness in virtual decision-making exercises,10.1037/e500592012-001,http://www.dtic.mil/dtic/tr/fulltext/u2/a390238.pdf,SAGAT,14,14,0.387264981,0.090909091,Strater2001,177,Table H-35
Sulistyawati,2011,Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities,10.1080/10508414.2011.556492,NA,SAGAT,16,16,0.587367992,0.076923077,Sulistyawati,178,"*Use same Sample for both papers, same dataset"
Sulistyawati,2011,Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities,10.1080/10508414.2011.556492,NA,SAGAT,16,16,0.411800034,0.076923077,Sulistyawati,179,"High SA is good SA , high num times shot is bad perf (-1  coding)"
Sulistyawati,2011,Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities,10.1080/10508414.2011.556492,NA,SAGAT,16,16,0.200650085,0.076923077,Sulistyawati,180,NA
Sulistyawati,2011,Prediction in Situation Awareness: Confidence Bias and Underlying Cognitive Abilities,10.1080/10508414.2011.556492,NA,Other,16,16,0.733168534,0.076923077,Sulistyawati,181,"Multiple linear regression, zero order correlations (Table 5) coded as Pearson. Partial correlation control for flight hours, using unadjusted zero-order correlations. 
High overconfidence is bad SA, high num times shot is bad perf (+1 coding)"
Sulistyawati and Chui,2009,Confidence Bias in Situation Awareness,10.1007/978-3-642-02728-4_34,NA,Other,16,16,0.741416144,0.076923077,Sulistyawati,182,"Second experiment, individual performance only. Note one-tailed p-value"
Venturino,1990,Performance-based measures of merit for tactical situation awareness,NA,NA,Direct-SR,16,16,0.618381314,0.076923077,Venturino1990,183,Overall stat; 
Venturino,1990,Performance-based measures of merit for tactical situation awareness,NA,NA,Direct-SR,16,16,0.693147181,0.076923077,Venturino1990,184,Overall stat; 
Venturino,1990,Performance-based measures of merit for tactical situation awareness,NA,NA,Other,16,16,0.829114038,0.076923077,Venturino1990,185,Overall stat; 
Venturino,1990,Performance-based measures of merit for tactical situation awareness,NA,NA,Other,16,16,1.256152812,0.076923077,Venturino1990,186,Overall stat; 
Yang et al. ,2011,Operators’ signal-detection performance in video display unit monitoring tasks of the main control room,10.1016/j.ssci.2011.04.010,NA,SART,13,13,-0.030009005,0.1,Yang et al. 2011,187,Added measure
Yang et al. ,2011,Operators’ signal-detection performance in video display unit monitoring tasks of the main control room,10.1016/j.ssci.2011.04.010,NA,SART,13,13,-0.140925576,0.1,Yang et al. 2011,188,NA
Yang et al. ,2011,Operators’ signal-detection performance in video display unit monitoring tasks of the main control room,10.1016/j.ssci.2011.04.010,NA,SART,13,13,-0.171666664,0.1,Yang et al. 2011,189,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,0.435611223,0.047619048,Entin2000,190,"Detailed measure was ""modeled on the SAGAT"""
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,0.234189467,0.047619048,Entin2000,191,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,-0.01119668,0.047619048,Entin2000,192,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,0.359725916,0.047619048,Entin2000,193,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,0.117557616,0.047619048,Entin2000,194,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,-0.01119668,0.047619048,Entin2000,195,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,0.1815121,0.047619048,Entin2000,196,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,0.618381314,0.047619048,Entin2000,197,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,0.632833187,0.047619048,Entin2000,198,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,0.13073985,0.047619048,Entin2000,199,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,0.236012327,0.047619048,Entin2000,200,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,0.237752582,0.047619048,Entin2000,201,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,0.40005965,0.047619048,Entin2000,202,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,0.632833187,0.047619048,Entin2000,203,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,-0.023078832,0.047619048,Entin2000,204,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,0.243872194,0.047619048,Entin2000,205,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,SAGAT,24,24,0.376885901,0.047619048,Entin2000,206,NA
Entin,2000,AN EXPLORATORY INVESTIGATION OF RELATIONSHIPS BETWEEN SITUATION AWARENESS AND PERFORMANCE IN AN ATTACK HELICOPTER DOMAIN ,10.1518/155534308X284345,NA,General Know.,24,24,-0.192337169,0.047619048,Entin2000,207,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,34,34,0.497311288,0.032258065,Gugerty1997Exp1,208,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,34,34,0.662462707,0.032258065,Gugerty1997Exp1,209,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,34,34,0.847955755,0.032258065,Gugerty1997Exp1,210,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Other,34,34,0.741416144,0.032258065,Gugerty1997Exp1,211,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Other,34,34,1.071431684,0.032258065,Gugerty1997Exp1,212,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,79,79,0.320545409,0.013157895,Gugerty1997Exp2,213,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,79,79,0.287682072,0.013157895,Gugerty1997Exp2,214,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,79,79,0.447692024,0.013157895,Gugerty1997Exp2,215,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Other,79,79,0.549306144,0.013157895,Gugerty1997Exp2,216,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Other,79,79,0.677666068,0.013157895,Gugerty1997Exp2,217,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,77,77,0.376885901,0.013513514,Gugerty1997Exp3,218,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,77,77,0.287682072,0.013513514,Gugerty1997Exp3,219,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Explicit Recall,77,77,0.411800034,0.013513514,Gugerty1997Exp3,220,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Other,77,77,0.472230804,0.013513514,Gugerty1997Exp3,221,NA
Gugerty,1997,Situation Awareness During Driving: Explicit and Implicit Knowledge in Dynamic Spatial Memory,10.1037/1076-898X.3.1.42,NA,Other,77,77,0.847955755,0.013513514,Gugerty1997Exp3,222,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.202732554,0.010416667,Gutzwiller2013,223,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.775298706,0.010416667,Gutzwiller2013,224,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.234189467,0.010416667,Gutzwiller2013,225,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.244774113,0.010416667,Gutzwiller2013,226,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0,0.010416667,Gutzwiller2013,227,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.522984278,0.010416667,Gutzwiller2013,228,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.331647109,0.010416667,Gutzwiller2013,229,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.276863823,0.010416667,Gutzwiller2013,230,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.13073985,0.010416667,Gutzwiller2013,231,NA
Gutzwiller,2013,The Role of Working Memory in Levels of Situation Awareness,10.1177/1555343412451749,NA,Other,99,99,0.693147181,0.010416667,Gutzwiller2013,232,NA
Stanners,2005,An Empirical Study of the Relationship between Situation Awareness and Decision Making,NA,https://apps.dtic.mil/docs/citations/ADA434593,SAGAT,24,24,0.510070337,0.047619048,Stanners2005,233,"SAGAT like measure, DQT is modified from SAGAT"
Stanners,2005,An Empirical Study of the Relationship between Situation Awareness and Decision Making,NA,https://apps.dtic.mil/docs/citations/ADA434593,SAGAT,24,24,0.459896681,0.047619048,Stanners2005,234,NA
McDermott,2013,METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS,NA,https://apps.dtic.mil/docs/citations/ADA434593,Other,39,39,0.237404274,0.027777778,McDermott2013,235,NA
McDermott,2013,METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS,NA,https://apps.dtic.mil/docs/citations/ADA434593,Other,39,39,0.102967191,0.027777778,McDermott2013,236,NA
McDermott,2013,METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS,NA,https://apps.dtic.mil/docs/citations/ADA434593,Other,39,39,0.097987998,0.027777778,McDermott2013,237,NA
McDermott,2013,METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS,NA,https://apps.dtic.mil/docs/citations/ADA434593,Other,39,39,0.430812377,0.027777778,McDermott2013,238,NA
McDermott,2013,METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS,NA,https://apps.dtic.mil/docs/citations/ADA434593,Other,39,39,0.450122871,0.027777778,McDermott2013,239,NA
McDermott,2013,METHODOLOGIES FOR ASSESSING SITUATION AWARENESS OF UNMANNED SYSTEM OPERATORS,NA,https://apps.dtic.mil/docs/citations/ADA434593,Other,39,39,0.364304607,0.027777778,McDermott2013,240,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.435611223,0.019230769,Loft2013,241,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.411800034,0.019230769,Loft2013,242,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,-0.120581028,0.019230769,Loft2013,243,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,-0.020002667,0.019230769,Loft2013,244,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.080171325,0.019230769,Loft2013,245,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.010000333,0.019230769,Loft2013,246,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SART,55,55,-0.171666664,0.019230769,Loft2013,247,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,-0.010000333,0.019230769,Loft2013,248,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.213171347,0.019230769,Loft2013,249,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,-0.090244188,0.019230769,Loft2013,250,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,-0.030009005,0.019230769,Loft2013,251,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.120581028,0.019230769,Loft2013,252,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.040021354,0.019230769,Loft2013,253,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SART,55,55,-0.010000333,0.019230769,Loft2013,254,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.030009005,0.019230769,Loft2013,255,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.060072156,0.019230769,Loft2013,256,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.010000333,0.019230769,Loft2013,257,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,0.411800034,0.019230769,Loft2013,258,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,-0.090244188,0.019230769,Loft2013,259,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SPAM,55,55,-0.050041729,0.019230769,Loft2013,260,NA
Loft,2013,Using the situation present assessment method to measure situation awareness in simulated submarine track management,10.1504/IJHFE.2013.055975,NA,SART,55,55,0.120581028,0.019230769,Loft2013,261,NA
Pierce,2008,COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION,http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF,NA,SART,21,21,-0.233315591,0.055555556,Pierce2008,262,"7 SA measures (4 SART [Supply, Demand, Understanding, and Combined], 1 SAGAT, and 2 SPAM [Accuracy and Latency]) x 7 performance measures "
Pierce,2008,COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION,http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF,NA,SART,21,21,0.123144159,0.055555556,Pierce2008,263,"Moreover,  only  SPAM  latency  predicted  collisions…."
Pierce,2008,COMPARING SITUATION AWARENESS MEASUREMENT TECHNIQUES IN A LOW FIDELITY AIR TRAFFIC CONTROL SIMULATION,http://icas.org/ICAS_ARCHIVE/ICAS2008/PAPERS/579.PDF,NA,SART,21,21,0.193543695,0.055555556,Pierce2008,264,Only  SPAM  latencies  significantly predicted  the  number  of  correct  exits 
