"study.id"	"effect.size.id"	"species"	"species.id"	"subphylum"	"phylum"	"assortment.trait"	"trait.dimensions"	"field.collection"	"publication.year"	"pooled.data"	"spatially.pooled.data"	"temporally.pooled.data"	"ri"	"ni"
"Cornet et al. 2012"	339	"Gammarus pulex"	"Gammarus_pulex_gallicus_ott1024016"	"Crustacea"	"Arthropoda"	"height of the fourth coxal plate"	"uni"	"yes"	2012	"no"	"no"	"no"	0.28	35
"Cornet et al. 2012"	340	"Gammarus pulex"	"Gammarus_pulex_gallicus_ott1024016"	"Crustacea"	"Arthropoda"	"height of the fourth coxal plate"	"uni"	"yes"	2012	"no"	"no"	"no"	0.27	34
"Coulter 1986"	341	"Sterna hirundo"	"Sterna_hirundo_hirundo_ott5560401"	"Aves"	"Chordata"	"bill length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.46	61
"Crespi 1989"	342	"Elaphrothrips tuberculatus"	"Elaphrothrips_tuberculatus_ott788825"	"Insecta"	"Arthropoda"	"fore-femora length"	"uni"	"yes"	1989	"no"	"no"	"no"	0.03	190
"Crespi 1989"	343	"Elaphrothrips tuberculatus"	"Elaphrothrips_tuberculatus_ott788825"	"Insecta"	"Arthropoda"	"fore-femora length"	"uni"	"yes"	1989	"no"	"no"	"no"	0.09	228
"Crespi 1989"	344	"Elaphrothrips tuberculatus"	"Elaphrothrips_tuberculatus_ott788825"	"Insecta"	"Arthropoda"	"fore-femora length"	"uni"	"yes"	1989	"no"	"no"	"no"	0.11	126
"Crespi 1989"	345	"Elaphrothrips tuberculatus"	"Elaphrothrips_tuberculatus_ott788825"	"Insecta"	"Arthropoda"	"fore-femora length"	"uni"	"yes"	1989	"no"	"no"	"no"	0.24	253
"Crognier 1973"	346	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1973	"yes"	"yes"	"yes"	0.305	213
"Crognier 1973"	347	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1973	"yes"	"yes"	"yes"	0.214	191
"Crognier 1973"	348	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1973	"yes"	"yes"	"yes"	0.203	215
"Crognier 1973"	349	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1973	"yes"	"yes"	"yes"	0.196	192
"Crozier 1918"	350	"Chromodoris zebra"	"Felimare_zebra_ott2875381"	"Gastropoda"	"Lophotrochozoa"	"body length"	"uni"	"yes"	1918	"no"	"no"	"no"	0.608	148
"Crozier 1918"	351	"Chromodoris zebra"	"Felimare_zebra_ott2875381"	"Gastropoda"	"Lophotrochozoa"	"mantle length"	"uni"	"yes"	1918	"no"	"no"	"no"	0.518	89
"Crozier 1918"	352	"Chromodoris zebra"	"Felimare_zebra_ott2875381"	"Gastropoda"	"Lophotrochozoa"	"body length"	"uni"	"yes"	1918	"no"	"no"	"no"	0.49	89
"Crozier and Snyder 1923"	353	"Gammarus fasciatus"	"Gammarus_fasciatus_ott585520"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	1923	"no"	"no"	"no"	0.69	71
"Crozier and Snyder 1923"	354	"Gammarus locusta"	"Gammarus_locusta_ott846200"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	1923	"no"	"no"	"no"	0.914	62
"Cuadrado 1999"	355	"Chamaeleo chamaeleon"	"Chamaeleo_chamaeleon_recticrista_ott113623"	"Squamata"	"Chordata"	"weight"	"uni"	"yes"	1999	"yes"	"no"	"yes"	0.28	31
"Cuadrado 1999"	356	"Chamaeleo chamaeleon"	"Chamaeleo_chamaeleon_recticrista_ott113623"	"Squamata"	"Chordata"	"snout-vent length"	"uni"	"yes"	1999	"yes"	"no"	"yes"	-0.004	31
"Cuadrado 1999"	357	"Chamaeleo chamaeleon"	"Chamaeleo_chamaeleon_recticrista_ott113623"	"Squamata"	"Chordata"	"weight"	"uni"	"yes"	1999	"no"	"no"	"no"	-0.4	20
"Dalmia and Lawrence 2001"	358	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	0.457	905
"Dasgupta et al. 1997"	359	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1997	"yes"	"yes"	"no"	0.235	110
"Dasgupta et al. 1997"	360	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1997	"yes"	"yes"	"no"	-0.074	110
"Davenport 1917"	361	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1917	"yes"	"yes"	"yes"	0.33	889
"Davies and Halliday 1977"	362	"Bufo bufo"	"Bufo_bufo_ott889350"	"Amphibia"	"Chordata"	"body length"	"uni"	"yes"	1977	"no"	"no"	"no"	0.567	16
"Delestrade 2001"	363	"Pyrrhocorax graculus"	"Pyrrhocorax_graculus_ott140440"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	0.4	76
"Delestrade 2001"	364	"Pyrrhocorax graculus"	"Pyrrhocorax_graculus_ott140440"	"Aves"	"Chordata"	"tail length"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	0.09	79
"Delestrade 2001"	365	"Pyrrhocorax graculus"	"Pyrrhocorax_graculus_ott140440"	"Aves"	"Chordata"	"bill depth"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	0.05	78
"Delestrade 2001"	366	"Pyrrhocorax graculus"	"Pyrrhocorax_graculus_ott140440"	"Aves"	"Chordata"	"bill length"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	0.05	78
"Delestrade 2001"	367	"Pyrrhocorax graculus"	"Pyrrhocorax_graculus_ott140440"	"Aves"	"Chordata"	"wing length"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	0.02	80
"Delestrade 2001"	368	"Pyrrhocorax graculus"	"Pyrrhocorax_graculus_ott140440"	"Aves"	"Chordata"	"bill width"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	0.006	76
"Delestrade 2001"	369	"Pyrrhocorax graculus"	"Pyrrhocorax_graculus_ott140440"	"Aves"	"Chordata"	"weight"	"uni"	"yes"	2001	"yes"	"yes"	"yes"	-0.003	73
"Desjardins et al. 2011"	370	"Neolamprologus pulcher"	"Neolamprologus_pulcher_--Daffodil--_ott311695"	"Teleostei"	"Chordata"	"weight"	"uni"	"yes"	2011	"no"	"no"	"no"	0.671	18
"Desjardins et al. 2011"	371	"Neolamprologus pulcher"	"Neolamprologus_pulcher_--Daffodil--_ott311695"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	2011	"no"	"no"	"no"	0.49	18
"Desjardins et al. 2011"	372	"Neolamprologus pulcher"	"Neolamprologus_pulcher_--Daffodil--_ott311695"	"Teleostei"	"Chordata"	"gonado-somatic index"	"dimensionless"	"yes"	2011	"no"	"no"	"no"	0.346	18
"Detto and Backwell 2009"	373	"Uca capricornis"	"Uca_capricornis_ott2981580"	"Crustacea"	"Arthropoda"	"carapace width"	"uni"	"yes"	2009	"yes"	"no"	"yes"	0.511	531
"Devin et al. 2004"	374	"Dikerogammarus villosus"	"Dikerogammarus_villosus_ott735765"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	2004	"no"	"no"	"no"	0.5	169
"Devin et al. 2004"	375	"Dikerogammarus villosus"	"Dikerogammarus_villosus_ott735765"	"Crustacea"	"Arthropoda"	"body length"	"uni"	"yes"	2004	"no"	"no"	"no"	0.51	501
"Devlin et al. 2004"	376	"Sterna paradisaea"	"Sterna_paradisaea_ott809006"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	2004	"no"	"no"	"no"	0.43	59
"DeWitt 1996"	377	"Physa heterostropha"	"Physella_acuta_ott55904"	"Gastropoda"	"Lophotrochozoa"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.83	4
"DeWitt 1996"	378	"Physa heterostropha"	"Physella_acuta_ott55904"	"Gastropoda"	"Lophotrochozoa"	"body length"	"uni"	"yes"	1996	"no"	"no"	"no"	0.705	15
"DeWitt 1996"	379	"Physa heterostropha"	"Physella_acuta_ott55904"	"Gastropoda"	"Lophotrochozoa"	"body length"	"uni"	"no"	1996	"no"	"no"	"no"	0.733	15
"DeWitt 1996"	380	"Physa heterostropha"	"Physella_acuta_ott55904"	"Gastropoda"	"Lophotrochozoa"	"body length"	"uni"	"no"	1996	"no"	"no"	"no"	0.556	23
"Dias et al. 2017"	381	"Phyllomedusa iheringii"	"Phyllomedusa_iheringii_ott979521"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2017	"yes"	"yes"	"no"	0.2	21
"Dick and Elwood 1996"	382	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"no"	1996	"no"	"no"	"no"	0.53	33
"Dick and Elwood 1996"	383	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"no"	1996	"no"	"no"	"no"	0.5	27
"Dick and Elwood 1996"	384	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"no"	1996	"no"	"no"	"no"	0.37	34
"Dick and Elwood 1996"	385	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"no"	1996	"yes"	"yes"	"no"	0.45	95
"Dick and Elwood 1996"	386	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1996	"no"	"no"	"no"	0.44	81
"Dick and Elwood 1996"	387	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1996	"no"	"no"	"no"	0.35	65
"Dick and Elwood 1996"	388	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1996	"no"	"no"	"no"	0.25	70
"Dick and Elwood 1996"	389	"Echinogammarus marinus"	"Echinogammarus_margalefi_ott2982674"	"Crustacea"	"Arthropoda"	"weight"	"uni"	"yes"	1996	"yes"	"yes"	"no"	0.36	217
"Diesel 1988"	390	"Inachus phalangium"	"Inachus_phalangium_ott2979756"	"Crustacea"	"Arthropoda"	"carapace length"	"uni"	"yes"	1988	"yes"	"no"	"yes"	0.14	44
"Dillen et al. 2010"	391	"Succinea putris"	"Succinea_putris_ott1001375"	"Gastropoda"	"Lophotrochozoa"	"shell volume"	"tri"	"no"	2010	"no"	"no"	"no"	0.44	23
"Diniz et al. 2016"	392	"Furnarius rufus albogularis"	"Furnarius_rufus_ott799151"	"Aves"	"Chordata"	"bill depth"	"uni"	"yes"	2016	"no"	"no"	"no"	0.35	23
"Diniz et al. 2016"	393	"Furnarius rufus albogularis"	"Furnarius_rufus_ott799151"	"Aves"	"Chordata"	"wing length"	"uni"	"yes"	2016	"no"	"no"	"no"	0.26	23
"Diniz et al. 2016"	394	"Furnarius rufus albogularis"	"Furnarius_rufus_ott799151"	"Aves"	"Chordata"	"bill length"	"uni"	"yes"	2016	"no"	"no"	"no"	0.05	23
"Diniz et al. 2016"	395	"Furnarius rufus albogularis"	"Furnarius_rufus_ott799151"	"Aves"	"Chordata"	"tail length"	"uni"	"yes"	2016	"no"	"no"	"no"	0.05	23
"Diniz et al. 2016"	396	"Furnarius rufus albogularis"	"Furnarius_rufus_ott799151"	"Aves"	"Chordata"	"weight"	"uni"	"yes"	2016	"no"	"no"	"no"	0.03	23
"Diniz et al. 2016"	397	"Furnarius rufus albogularis"	"Furnarius_rufus_ott799151"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	2016	"no"	"no"	"no"	0.02	23
"Diniz et al. 2016"	398	"Furnarius rufus albogularis"	"Furnarius_rufus_ott799151"	"Aves"	"Chordata"	"bill width"	"uni"	"yes"	2016	"no"	"no"	"no"	-0.44	23
"Dittrich et al. 2018"	399	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.07	17
"Dittrich et al. 2018"	400	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.38	18
"Dittrich et al. 2018"	401	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.02	22
"Dittrich et al. 2018"	402	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.22	24
"Dittrich et al. 2018"	403	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.26	30
"Dittrich et al. 2018"	404	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.04	15
"Dittrich et al. 2018"	405	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.15	9
"Dittrich et al. 2018"	406	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.46	6
"Dittrich et al. 2018"	407	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.34	9
"Dittrich et al. 2018"	408	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.07	7
"Dittrich et al. 2018"	409	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.68	5
"Dittrich et al. 2018"	410	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.34	4
"Dittrich et al. 2018"	411	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.41	14
"Dittrich et al. 2018"	412	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.28	20
"Dittrich et al. 2018"	413	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.03	6
"Dittrich et al. 2018"	414	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.6	7
"Dittrich et al. 2018"	415	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.03	9
"Dittrich et al. 2018"	416	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.02	9
"Dittrich et al. 2018"	417	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.06	4
"Dittrich et al. 2018"	418	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.47	53
"Dittrich et al. 2018"	419	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.45	18
"Dittrich et al. 2018"	420	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.15	17
"Dittrich et al. 2018"	421	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.97	4
"Dittrich et al. 2018"	422	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.3	21
"Dittrich et al. 2018"	423	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.38	5
"Dittrich et al. 2018"	424	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.45	11
"Dittrich et al. 2018"	425	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.18	8
"Dittrich et al. 2018"	426	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.01	15
"Dittrich et al. 2018"	427	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.09	38
"Dittrich et al. 2018"	428	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.09	42
"Dittrich et al. 2018"	429	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.18	11
"Dittrich et al. 2018"	430	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.17	23
"Dittrich et al. 2018"	431	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.72	4
"Dittrich et al. 2018"	432	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.09	47
"Dittrich et al. 2018"	433	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.29	15
"Dittrich et al. 2018"	434	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.3	8
"Dittrich et al. 2018"	435	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.7	4
"Dittrich et al. 2018"	436	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.01	12
"Dittrich et al. 2018"	437	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.4	4
"Dittrich et al. 2018"	438	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.55	11
"Dittrich et al. 2018"	439	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.76	12
"Dittrich et al. 2018"	440	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.33	8
"Dittrich et al. 2018"	441	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	-0.03	27
"Dittrich et al. 2018"	442	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.47	15
"Dittrich et al. 2018"	443	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.33	23
"Dittrich et al. 2018"	444	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.18	14
"Dittrich et al. 2018"	445	"Rana temporaria"	"Rana_temporaria_temporaria_ott979590"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	2018	"no"	"no"	"no"	0.58	12
"Dobson et al. 2011"	446	"Aptenodytes patagonicus"	"Aptenodytes_patagonicus_ott494361"	"Aves"	"Chordata"	"weight"	"uni"	"yes"	2011	"no"	"no"	"no"	0.248	73
"Dobson et al. 2011"	447	"Aptenodytes patagonicus"	"Aptenodytes_patagonicus_ott494361"	"Aves"	"Chordata"	"ear width"	"uni"	"yes"	2011	"no"	"no"	"no"	0.175	73
"Dobson et al. 2011"	448	"Aptenodytes patagonicus"	"Aptenodytes_patagonicus_ott494361"	"Aves"	"Chordata"	"head width"	"uni"	"yes"	2011	"no"	"no"	"no"	0.014	73
"Dobson et al. 2011"	449	"Aptenodytes patagonicus"	"Aptenodytes_patagonicus_ott494361"	"Aves"	"Chordata"	"ear surface area"	"tri"	"yes"	2011	"no"	"no"	"no"	-0.053	71
"Dodson and Marshall 1984"	450	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1984	"no"	"no"	"no"	0.57	12
"Dodson and Marshall 1984"	451	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"femur length"	"uni"	"yes"	1984	"no"	"no"	"no"	0.53	8
"Dodson and Marshall 1984"	452	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"pronotal width"	"uni"	"yes"	1984	"no"	"no"	"no"	0.26	12
"Dodson and Marshall 1984"	453	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1984	"no"	"no"	"no"	0.22	8
"Dodson and Marshall 1984"	454	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"femur length"	"uni"	"yes"	1984	"no"	"no"	"no"	-0.09	12
"Dodson and Marshall 1984"	455	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"pronotal width"	"uni"	"yes"	1984	"no"	"no"	"no"	-0.72	8
"Dodson and Marshall 1984"	456	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"pronotal width"	"uni"	"yes"	1984	"no"	"no"	"no"	0.93	12
"Dodson and Marshall 1984"	457	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"femur length"	"uni"	"yes"	1984	"no"	"no"	"no"	0.64	12
"Dodson and Marshall 1984"	458	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1984	"no"	"no"	"no"	0.52	12
"Dodson and Marshall 1984"	459	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1984	"no"	"no"	"no"	0.23	14
"Dodson and Marshall 1984"	460	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"pronotal width"	"uni"	"yes"	1984	"no"	"no"	"no"	-0.38	14
"Dodson and Marshall 1984"	461	"Phymata fasciata"	"Phymata_fasciata_ott3475652"	"Insecta"	"Arthropoda"	"femur length"	"uni"	"yes"	1984	"no"	"no"	"no"	-0.52	14
"Dybas and Lloyd 1962"	462	"Magicicada cassini"	"Magicicada_cassini_ott435888"	"Insecta"	"Arthropoda"	"tibia length"	"uni"	"yes"	1962	"no"	"no"	"no"	0.02	431
"Dybas and Lloyd 1962"	463	"Magicicada septendecim"	"Magicicada_septendecim_ott427477"	"Insecta"	"Arthropoda"	"tibia length"	"uni"	"yes"	1962	"no"	"no"	"no"	0.05	340
"Dyson et al. 1992"	464	"Hyperolius marmoratus"	"Hyperolius_marmoratus_ott441372"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	1992	"no"	"no"	"no"	0.081	228
"Eaves et al. 1999"	465	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1999	"yes"	"no"	"yes"	0.223	4571
"Eckman et al. 2002"	466	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2002	"no"	"no"	"no"	0.22	949
"Eckman et al. 2002"	467	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	2002	"no"	"no"	"no"	0.14	949
"Eckman et al. 2002"	468	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	2002	"no"	"no"	"no"	0.13	400
"Eckman et al. 2002"	469	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	2002	"no"	"no"	"no"	0.12	949
"Einoder et al. 2008"	470	"Puffinus tenuirostris"	"Puffinus_tenuirostris_ott471652"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	2008	"yes"	"yes"	"yes"	0.63	48
"Einoder et al. 2008"	471	"Puffinus tenuirostris"	"Puffinus_tenuirostris_ott471652"	"Aves"	"Chordata"	"bill depth"	"uni"	"yes"	2008	"yes"	"yes"	"yes"	0.62	52
"Einoder et al. 2008"	472	"Puffinus tenuirostris"	"Puffinus_tenuirostris_ott471652"	"Aves"	"Chordata"	"head-bill length"	"uni"	"yes"	2008	"yes"	"yes"	"yes"	0.27	48
"Einoder et al. 2008"	473	"Puffinus tenuirostris"	"Puffinus_tenuirostris_ott471652"	"Aves"	"Chordata"	"bill length"	"uni"	"yes"	2008	"yes"	"yes"	"yes"	0.06	51
"Ellis and Bercovitch 2011"	474	"Phascolarctos cinereus"	"Phascolarctos_cinereus_victor_ott985451"	"Mammalia"	"Chordata"	"head length"	"uni"	"yes"	2011	"no"	"no"	"no"	0.304	30
"Ellis and Bercovitch 2011"	475	"Phascolarctos cinereus"	"Phascolarctos_cinereus_victor_ott985451"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	2011	"no"	"no"	"no"	0.009	30
