"study"	"treatment"	"control"	"week"	"yi"	"vi"	"n1i"	"n2i"	"instrument"	"region"	"mean.age"	"percent.women"	"rob"
"191"	"Gellis, 2008"	"pst"	"cau"	32	2.52	0.117649	34	35	"hdrs-17"	"usa"	77.4	87	"high risk"
"192"	"Geraedts, 2014"	"cbt"	"cau"	0	-0.0549505916375046	0.0173229207593252	116	115	"ces-d"	"europe"	43.4	62	"some concerns"
"193"	"Geraedts, 2014"	"cbt"	"cau"	8	0.252161452414604	0.0174548795154616	116	115	"ces-d"	"europe"	43.4	62	"some concerns"
"194"	"Geraedts, 2014"	"cbt"	"cau"	26	-0.12	0.0256	116	115	"ces-d"	"europe"	43.4	62	"some concerns"
"195"	"Geraedts, 2014"	"cbt"	"cau"	52	0.23	0.0324	116	115	"ces-d"	"europe"	43.4	62	"some concerns"
"196"	"Gold, 2023"	"cbt"	"wl"	0	0.390148222240398	0.0244817774899267	85	93	"madrs"	"europe"	47	77	"low risk"
"197"	"Gold, 2023"	"cbt"	"wl"	12	0.435967441843049	0.0243727147747989	85	93	"madrs"	"europe"	47	77	"low risk"
"198"	"Gold, 2023"	"cbt"	"wl"	26	0.463	0.024649	85	93	"bdi-2"	"europe"	47	77	"low risk"
"199"	"Goodman, 2015"	"other psy"	"cau"	0	0.109325101406712	0.0953859058257318	21	21	"epds"	"usa"	30.7	100	"some concerns"
"200"	"Goodman, 2015"	"other psy"	"cau"	13	0.0338742940758752	0.0952522860182788	21	21	"epds"	"usa"	30.7	100	"some concerns"
"201"	"Goodman, 2015"	"other psy"	"cau"	26	0.294	0.0961	21	21	"epds"	"usa"	30.7	100	"some concerns"
"202"	"Gureje, 2022"	"other psy"	"cau"	0	0.232649940968157	0.0171057222155636	141	101	"epds"	"other"	18	100	"some concerns"
"203"	"Gureje, 2022"	"other psy"	"cau"	46	0.44930892481182	0.021717341318005	141	101	"epds"	"other"	18	100	"some concerns"
"204"	"Haakana, 2024"	"bat"	"cau"	0	-0.29918844686679	0.0675065302089461	45	46	"bdi-1"	"europe"	38	63	"high risk"
"205"	"Haakana, 2024"	"bat"	"cau"	8	-0.0856767420453628	0.073012967777213	45	46	"bdi-1"	"europe"	38	63	"high risk"
"206"	"Haakana, 2024"	"bat"	"cau"	26	0.232205263391215	0.113283305719136	45	46	"phq-9"	"europe"	38	63	"high risk"
"207"	"Hallgren, 2015"	"cbt"	"cau"	0	0.084310050215575	0.00636536627018121	317	312	"madrs"	"europe"	43	73	"high risk"
"208"	"Hallgren, 2015"	"cbt"	"cau"	12	0.320679855219394	0.00827639136209515	317	312	"madrs"	"europe"	43	73	"high risk"
"209"	"Hallgren, 2015"	"cbt"	"cau"	52	0.16	0.0064	317	312	"madrs"	"europe"	43	73	"high risk"
"210"	"Hamamci, 2006"	"cbt"	"cau"	0	0.501293927735916	0.197401309462355	12	11	"bdi-1"	"other"	19.52	48	"high risk"
"211"	"Hamamci, 2006"	"cbt"	"cau"	11	1.4048790555042	0.193519719831249	12	11	"bdi-1"	"other"	19.52	48	"high risk"
"212"	"Hamamci, 2006"	"cbt"	"cau"	37	0.53821353155806	0.158746203935862	12	11	"bdi-1"	"other"	19.52	48	"high risk"
"213"	"Hassiotis, 2013"	"cbt"	"cau"	0	0.0649551837262239	0.125069378611098	16	16	"bdi-1"	"europe"	36	63	"high risk"
"214"	"Hassiotis, 2013"	"cbt"	"cau"	17	0.0205302170529389	0.133340753852276	16	16	"bdi-1"	"europe"	36	63	"high risk"
"215"	"Hassiotis, 2013"	"cbt"	"cau"	26	0.112	0.148225	16	16	"bdi-1"	"europe"	36	63	"high risk"
"216"	"Heckman, 2011"	"other psy"	"other ctr"	0	0	0.0211517165005537	105	86	"gds"	"usa"	55.3	33	"high risk"
"217"	"Heckman, 2011"	"other psy"	"other ctr"	12	0.312061677666952	0.0171733170254335	104	86	"gds"	"usa"	55.3	33	"high risk"
"218"	"Heckman, 2011"	"other psy"	"other ctr"	28	0.3137034	0.0199280648	104	86	"gds"	"usa"	55.3	33	"high risk"
"219"	"Heckman, 2011"	"other psy"	"other ctr"	44	0.276384217728448	0.0209185946176068	104	86	"gds"	"usa"	55.3	33	"high risk"
"220"	"Heckman, 2013"	"other psy"	"cau"	0	0.234326775029746	0.0168546428262243	118	121	"gds"	"usa"	59	39	"some concerns"
"221"	"Heckman, 2013"	"other psy"	"cau"	12	0.226134308032309	0.0134561753864061	115	121	"gds"	"usa"	59	39	"some concerns"
"222"	"Heckman, 2013"	"other psy"	"cau"	28	0.268219944846091	0.0134150000745323	115	121	"gds"	"usa"	59	39	"some concerns"
"223"	"Heckman, 2013"	"other psy"	"cau"	44	0.2015	0.0133128	115	121	"gds"	"usa"	59	39	"some concerns"
"224"	"Hermanns, 2015"	"cbt"	"cau"	0	0.318487009079523	0.0223988951335861	106	108	"phq-9"	"europe"	43.3	57	"some concerns"
"225"	"Hermanns, 2015"	"cbt"	"cau"	5	0.182969024184099	0.0222095852354005	106	108	"phq-9"	"europe"	43.3	57	"some concerns"
"226"	"Hermanns, 2015"	"cbt"	"cau"	57	0.182969024184099	0.0222095852354005	106	108	"phq-9"	"europe"	43.3	57	"some concerns"
"227"	"Herrmann-Lingen, 2016"	"dyn"	"cau"	0	0	0.00704225352112676	285	285	"hads-d"	"europe"	59.2	21	"low risk"
"228"	"Herrmann-Lingen, 2016"	"dyn"	"cau"	26	0.026	0.007056	285	285	"hads-d"	"europe"	59.2	21	"low risk"
"229"	"Herrmann-Lingen, 2016"	"dyn"	"cau"	52	0.05	0.007056	285	285	"hads-d"	"europe"	59.2	21	"low risk"
"230"	"Herrmann-Lingen, 2016"	"dyn"	"cau"	78	0.05	0.007056	285	285	"hads-d"	"europe"	59.2	21	"low risk"
"231"	"Herrmann-Lingen, 2016"	"dyn"	"cau"	104	0.049	0.007056	285	285	"hads-d"	"europe"	59.2	21	"low risk"
"232"	"Honey, 2002"	"cbt"	"cau"	0	0.328981039421414	0.0901786767728308	23	22	"epds"	"europe"	27.92	100	"some concerns"
"233"	"Honey, 2002"	"cbt"	"cau"	8	0.357425229879311	0.090403430016027	23	22	"epds"	"europe"	27.92	100	"some concerns"
"234"	"Honey, 2002"	"cbt"	"cau"	34	0.497	0.09	23	22	"epds"	"europe"	27.92	100	"some concerns"
"235"	"Hou, 2014"	"cbt"	"cau"	0	-0.22738487336743	0.0189119356348486	121	128	"epds"	"east asia"	28	100	"high risk"
"236"	"Hou, 2014"	"cbt"	"cau"	13	0.711500287129384	0.0199865394133416	121	128	"epds"	"east asia"	28	100	"high risk"
"237"	"Hou, 2014"	"cbt"	"cau"	17	0.816	0.020449	121	128	"epds"	"east asia"	28	100	"high risk"
"238"	"Hou, 2014"	"cbt"	"cau"	28	1.15	0.021904	121	128	"epds"	"east asia"	28	100	"high risk"
"239"	"Hou, 2014"	"cbt"	"cau"	44	1.232	0.0225	121	128	"epds"	"east asia"	28	100	"high risk"
"240"	"Hou, 2014"	"cbt"	"cau"	76	0.893	0.020736	121	128	"epds"	"east asia"	28	100	"high risk"
"241"	"Howard, 2024"	"other psy"	"cau"	0	0.0532134831460672	0.0119089947089947	168	168	"csdd"	"europe"	77	61	"high risk"
"242"	"Howard, 2024"	"other psy"	"cau"	13	0.214	0.012321	168	168	"csdd"	"europe"	77	61	"high risk"
"243"	"Howard, 2024"	"other psy"	"cau"	26	0.094	0.012996	168	168	"csdd"	"europe"	77	61	"high risk"
"244"	"Howard, 2024"	"other psy"	"cau"	52	0.186	0.0144	168	168	"csdd"	"europe"	77	61	"high risk"
"245"	"Hsiao, 2014"	"other psy"	"cau"	0	-0.432422077121161	0.0577848223927192	34	37	"bdi-2"	"east asia"	NA	71	"some concerns"
"246"	"Hsiao, 2014"	"other psy"	"cau"	8	0.432	0.081796	34	37	"bdi-2"	"east asia"	NA	71	"some concerns"
"247"	"Hsiao, 2014"	"other psy"	"cau"	20	0.42	0.087616	34	37	"bdi-2"	"east asia"	NA	71	"some concerns"
"248"	"Hsiao, 2014"	"other psy"	"cau"	32	0.472	0.091809	34	37	"bdi-2"	"east asia"	NA	71	"some concerns"
"249"	"Hsiao, 2014"	"other psy"	"cau"	56	0.332	0.104976	34	37	"bdi-2"	"east asia"	NA	71	"some concerns"
"250"	"Huang, 2016"	"cbt"	"cau"	0	-0.0336867366683724	0.0656009415720592	33	32	"ces-d"	"east asia"	56.43	52	"high risk"
"251"	"Huang, 2016"	"cbt"	"cau"	12	1.95297589350786	0.0976683938012644	33	32	"ces-d"	"east asia"	56.43	52	"high risk"
"252"	"Huang, 2016"	"cbt"	"cau"	25	2.298	0.110224	33	32	"ces-d"	"east asia"	56.43	52	"high risk"
"253"	"Huh, 2023"	"cbt"	"cau"	0	-0.0670761397261726	0.0294858507156411	80	79	"epds"	"usa"	31	100	"some concerns"
"254"	"Huh, 2023"	"cbt"	"cau"	9	0.421410269926688	0.0301293986008343	80	79	"epds"	"usa"	31	100	"some concerns"
"255"	"Huh, 2023"	"cbt"	"cau"	35	0.141886541771151	0.0295439734606431	80	79	"epds"	"usa"	31	100	"some concerns"
"256"	"Hum, 2019"	"3rd"	"other ctr"	0	-0.368986234449064	0.0932709567649689	29	29	"qids-sr"	"usa"	35.51	71	"high risk"
"257"	"Hum, 2019"	"3rd"	"other ctr"	10	0.216086900463809	0.0922168652326786	29	29	"qids-sr"	"usa"	35.51	71	"high risk"
"258"	"Hum, 2019"	"3rd"	"other ctr"	36	-0.08	0.0961	29	29	"qids-sr"	"usa"	35.51	71	"high risk"
"259"	"Hum, 2019"	"3rd"	"other ctr"	62	-0.152	0.0961	29	29	"qids-sr"	"usa"	35.51	71	"high risk"
"260"	"Hunter, 2012"	"cbt"	"cau"	0	-0.0986505431493407	0.0598062272760782	47	26	"bdi-2"	"usa"	35.16	48	"high risk"
"261"	"Hunter, 2012"	"cbt"	"cau"	13	0.419426037710108	0.0872487970253464	47	26	"bdi-2"	"usa"	35.16	48	"high risk"
"262"	"Hunter, 2012"	"cbt"	"cau"	26	0.285	0.085849	47	26	"bdi-2"	"usa"	35.16	48	"high risk"
"263"	"Husain, 2017"	"cbt"	"cau"	0	0.0137650160337654	0.0161949833453635	123	124	"epds"	"other"	27.73	100	"low risk"
"264"	"Husain, 2017"	"cbt"	"cau"	13	0.722	0.019881	123	124	"epds"	"other"	27.73	100	"low risk"
"265"	"Husain, 2017"	"cbt"	"cau"	26	0.737	0.021025	123	124	"epds"	"other"	27.73	100	"low risk"
"266"	"Husain, 2021a"	"cbt"	"cau"	0	0.0547652903489213	0.00517767549495732	408	403	"phq-9"	"other"	NA	100	"high risk"
"267"	"Husain, 2021a"	"cbt"	"cau"	13	1.46759030099862	0.00661211597550025	408	403	"phq-9"	"other"	NA	100	"high risk"
"268"	"Husain, 2021a"	"cbt"	"cau"	26	0.846699665055066	0.00571274467689556	408	403	"phq-9"	"other"	NA	100	"high risk"
"269"	"Husain, 2021b"	"cbt"	"cau"	0	0.409841128148219	0.0421211915039841	54	53	"hdrs-17"	"other"	27.4	100	"high risk"
"270"	"Husain, 2021b"	"cbt"	"cau"	13	3.36926638177814	0.100694212322718	54	53	"hdrs-17"	"other"	27.4	100	"high risk"
"271"	"Husain, 2021b"	"cbt"	"cau"	26	1.9808113609604	0.0659312224546465	54	53	"hdrs-17"	"other"	27.4	100	"high risk"
"272"	"Husain, 2023"	"cbt"	"cau"	0	0.460916204558575	0.0547887679050809	42	41	"phq-9"	"europe"	30.26	100	"high risk"
"273"	"Husain, 2023"	"cbt"	"cau"	13	0.0434175788397887	0.0645989245969247	42	41	"phq-9"	"europe"	30.26	100	"high risk"
"274"	"Husain, 2023"	"cbt"	"cau"	26	-0.418006715176185	0.0705952695483393	42	41	"phq-9"	"europe"	30.26	100	"high risk"
"275"	"Husain, 2024"	"cbt"	"cau"	0	-0.157044988141206	0.00550442510059785	368	364	"phq-9"	"europe"	31	100	"high risk"
"276"	"Husain, 2024"	"cbt"	"cau"	17	0.307	0.007225	368	364	"phq-9"	"europe"	31	100	"high risk"
"277"	"Husain, 2024"	"cbt"	"cau"	52	0.133	0.007744	368	364	"phq-9"	"europe"	31	100	"high risk"
"278"	"Janssen, 2023"	"bat"	"cau"	0	0.0922839167731229	0.025827981940537	96	65	"qids16sr"	"europe"	75.19	60	"low risk"
"279"	"Janssen, 2023"	"bat"	"cau"	9	0.551123534206686	0.0267535415992174	96	65	"qids16sr"	"europe"	75.19	60	"low risk"
"280"	"Janssen, 2023"	"bat"	"cau"	35	0.268307727570015	0.0208498212074453	96	65	"qids16sr"	"europe"	75.19	60	"low risk"
"281"	"Janssen, 2023"	"bat"	"cau"	48	0.102059913741979	0.02583393841438	96	65	"qids16sr"	"europe"	75.19	60	"low risk"
"282"	"Janssen, 2023"	"bat"	"cau"	61	0.183707844735562	0.0259070886677193	96	65	"qids16sr"	"europe"	75.19	60	"low risk"
"283"	"Jelinek, 2016"	"3rd"	"other ctr"	0	-0.213136208837072	0.0484785797191595	41	43	"bdi-1"	"europe"	45.5	74	"high risk"
"284"	"Jelinek, 2016"	"3rd"	"other ctr"	4	0.376217442121861	0.0679515630859091	41	43	"bdi-1"	"europe"	45.5	74	"high risk"
"285"	"Jelinek, 2016"	"3rd"	"other ctr"	26	0.69	0.070756	41	43	"bdi-1"	"europe"	45.5	74	"high risk"
"286"	"Jelinek, 2016"	"3rd"	"other ctr"	182	0.317	0.0676	41	43	"bdi-1"	"europe"	45.5	74	"high risk"
"287"	"Jordans, 2019"	"bat"	"cau"	13	0.409256807303355	0.0340401889125088	60	60	"phq-9"	"other"	NA	85	"some concerns"
"288"	"Jordans, 2019"	"bat"	"cau"	52	0.648	0.034969	60	60	"phq-9"	"other"	NA	85	"some concerns"
"289"	"Kaviani, 2012"	"3rd"	"wl"	8	0.272	0.139129	15	15	"bdi-1"	"other"	22	100	NA
"290"	"Kaviani, 2012"	"3rd"	"wl"	12	0.563	0.143641	15	15	"bdi-1"	"other"	22	100	NA
"291"	"Kaviani, 2012"	"3rd"	"wl"	34	1.249	0.167281	15	15	"bdi-1"	"other"	22	100	NA
"292"	"Keeley, 2016"	"other psy"	"cau"	0	-0.197188611528102	0.0239804150448205	88	80	"phq-9"	"usa"	47.5	71	"low risk"
"293"	"Keeley, 2016"	"other psy"	"cau"	6	0.159579584301167	0.0239401175413966	88	80	"phq-9"	"usa"	47.5	71	"low risk"
"294"	"Keeley, 2016"	"other psy"	"cau"	12	0.249	0.024025	88	80	"phq-9"	"usa"	47.5	71	"low risk"
"295"	"Keeley, 2016"	"other psy"	"cau"	36	0.402	0.024336	88	80	"phq-9"	"usa"	47.5	71	"low risk"
"296"	"Kemmeren, 2023"	"cbt"	"cau"	0	-0.0884564352056612	0.0482477914395261	53	50	"phq-9"	"europe"	39.3	68	"low risk"
"297"	"Kemmeren, 2023"	"cbt"	"cau"	26	0.25892849381466	0.0528251721927611	53	50	"phq-9"	"europe"	39.3	68	"low risk"
"298"	"Kemmeren, 2023"	"cbt"	"cau"	52	0.171261330712854	0.0557636911600646	53	50	"phq-9"	"europe"	39.3	68	"low risk"
"299"	"Kessler, 2009"	"cbt"	"wl"	0	-0.0792304987224156	0.0134787882751167	149	148	"bdi-1"	"europe"	34.9	68	"low risk"
"300"	"Kessler, 2009"	"cbt"	"wl"	17	0.606813243520199	0.0200419202154362	149	148	"bdi-1"	"europe"	34.9	68	"low risk"
"301"	"Kessler, 2009"	"cbt"	"wl"	34	0.556	0.019881	149	148	"bdi-1"	"europe"	34.9	68	"low risk"
"302"	"Khoshbooii, 2021"	"cbt"	"wl"	0	-0.0152532892443053	0.0909118324175203	24	24	"bdi-2"	"other"	49	100	"high risk"
"303"	"Khoshbooii, 2021"	"cbt"	"wl"	32	3.08803097384245	0.166530448182431	24	24	"bdi-2"	"other"	49	100	"high risk"
"304"	"King, 2000"	"cbt"	"cau"	0	0.12625439790584	0.030860423617594	63	67	"bdi-1"	"europe"	37.5	77	"high risk"
"305"	"King, 2000"	"sup"	"cau"	17	0.417057640870268	0.0248004850486566	65	67	"bdi-1"	"europe"	37.5	77	"high risk"
"306"	"King, 2000"	"sup"	"cau"	52	0.0462260346658986	0.0288670229988746	65	67	"bdi-1"	"europe"	37.5	77	"high risk"
"307"	"Koelen, 2024"	"cbt"	"cau"	0	0.0268078067908591	0.00746346274939496	269	267	"phq-9"	"europe"	23.9	71.5	"low risk"
"308"	"Koelen, 2024"	"cbt"	"cau"	8	0.0725251130761807	0.00746771090491771	269	267	"phq-9"	"europe"	23.9	71.5	"low risk"
"309"	"Koelen, 2024"	"cbt"	"cau"	26	0.099	0.007396	269	267	"phq-9"	"europe"	23.9	71.5	"low risk"
"310"	"Koelen, 2024"	"cbt"	"cau"	52	0.008	0.007396	269	267	"phq-9"	"europe"	23.9	71.5	"low risk"
"311"	"Laidlaw, 2008"	"cbt"	"cau"	0	0.0183148265693161	0.100004364616577	21	23	"bdi-2"	"europe"	74.03	73	"high risk"
"312"	"Laidlaw, 2008"	"cbt"	"cau"	8	0.398467898546326	0.102065984960159	21	23	"bdi-2"	"europe"	74.03	73	"high risk"
"313"	"Laidlaw, 2008"	"cbt"	"cau"	21	0.436	0.1024	21	23	"bdi-2"	"europe"	74.03	73	"high risk"
"314"	"Laidlaw, 2008"	"cbt"	"cau"	34	0.423428489971884	0.102332924200614	21	23	"bdi-2"	"europe"	74.03	73	"high risk"
"315"	"Lamers, 2010"	"cbt"	"cau"	0	-0.0787310048846375	0.011091079690498	21	23	"bdi-1"	"europe"	70.7	47	"some concerns"
"316"	"Lamers, 2010"	"cbt"	"cau"	6	0.159746702662627	0.0153304060113297	21	23	"bdi-1"	"europe"	70.7	47	"some concerns"
"317"	"Lamers, 2010"	"cbt"	"cau"	19	0.255	0.017161	21	23	"bdi-1"	"europe"	70.7	47	"some concerns"
"318"	"Lamers, 2010"	"cbt"	"cau"	45	0.290262224454312	0.0170808995270551	21	23	"bdi-1"	"europe"	70.7	47	"some concerns"
"319"	"Layton, 2025"	"cbt"	"cau"	0	-0.0693230033826398	0.0351198854999468	60	59	"epds"	"usa"	31	100	"low risk"
"320"	"Layton, 2025"	"cbt"	"cau"	13	0.297	0.035344	60	59	"epds"	"usa"	31	100	"low risk"
"321"	"Layton, 2025"	"cbt"	"cau"	39	0.462	0.0361	60	59	"epds"	"usa"	31	100	"low risk"
"322"	"Lee, 2021"	"bat"	"cau"	0	0.109566955096478	0.0626572036888	31	33	"hdrs-17"	"east asia"	37	58	"some concerns"
"323"	"Lee, 2021"	"bat"	"cau"	10	0.397737049024524	0.110126218823671	31	33	"hdrs-17"	"east asia"	37	58	"some concerns"
"324"	"Lee, 2021"	"bat"	"cau"	36	0.194957008022033	0.164462742495747	31	33	"hdrs-17"	"east asia"	37	58	"some concerns"
"325"	"Leung, 2016"	"cbt"	"other ctr"	0	0.284980736297132	0.0246401598622265	82	82	"epds"	"east asia"	31.23	100	"high risk"
"326"	"Leung, 2016"	"cbt"	"other ctr"	19	0.252303734675834	0.024586133034125	82	82	"epds"	"east asia"	31.23	100	"high risk"
"327"	"Leung, 2016"	"cbt"	"other ctr"	32	0.197428494613638	0.0341534974761087	82	82	"epds"	"east asia"	31.23	100	"high risk"
"328"	"Lexis, 2011"	"pst"	"cau"	0	0.245987434612037	0.0289985364193661	69	70	"bdi-2"	"europe"	47.74	39	"high risk"
"329"	"Lexis, 2011"	"pst"	"cau"	26	0.341485798426205	0.0292025767750255	69	70	"bdi-2"	"europe"	47.74	39	"high risk"
"330"	"Lexis, 2011"	"pst"	"cau"	52	0.41	0.029241	69	70	"bdi-2"	"europe"	47.74	39	"high risk"
"331"	"Lincoln, 2003"	"cbt"	"cau"	13	0.211	0.050176	39	43	"bdi-2"	"europe"	66	49	"high risk"
"332"	"Lincoln, 2003"	"cbt"	"cau"	26	0.185	0.050176	39	43	"bdi-2"	"europe"	66	49	"high risk"
"333"	"Linde, 2011"	"cbt"	"other ctr"	0	0.0823207224896676	0.0197217284703682	101	102	"scl"	"usa"	52.2	100	"high risk"
"334"	"Linde, 2011"	"cbt"	"other ctr"	26	-0.056522202	0.0197128589173951	101	102	"scl"	"usa"	52.2	100	"high risk"
"335"	"Linde, 2011"	"cbt"	"other ctr"	52	0.148503951870736	0.0197596385999659	101	102	"scl"	"usa"	52.2	100	"high risk"
"336"	"Losada, 2015"	"cbt"	"other ctr"	0	-0.0226215401539914	0.0446457493379154	45	48	"ces-d"	"europe"	61.83	84	"some concerns"
"337"	"Losada, 2015"	"cbt"	"other ctr"	8	0.851617577612312	0.0383092828174707	44	48	"ces-d"	"europe"	61.83	84	"some concerns"
"338"	"Losada, 2015"	"cbt"	"other ctr"	34	0.380127201674808	0.0357270670202373	44	48	"ces-d"	"europe"	61.83	84	"some concerns"
"339"	"Lund, 2020"	"other psy"	"cau"	0	0.0419984812635721	0.0104370883686476	209	216	"hdrs-17"	"other"	27	100	"low risk"
"340"	"Lund, 2020"	"other psy"	"cau"	17	0.0398455800969148	0.0139731807939838	209	216	"hdrs-17"	"other"	27	100	"low risk"
"341"	"Lund, 2020"	"other psy"	"cau"	35	0.20778823855002	0.0121690835403755	209	216	"hdrs-17"	"other"	27	100	"low risk"
"342"	"Lund, 2020"	"other psy"	"cau"	74	0.273439456421862	0.012795020563337	209	216	"hdrs-17"	"other"	27	100	"low risk"
"343"	"Lustman, 1998"	"cbt"	"cau"	0	0.434302229727393	0.0977871970849785	25	26	"bdi-1"	"usa"	54.83	60	"high risk"
"344"	"Lustman, 1998"	"cbt"	"cau"	10	0.845833995003091	0.110986691292429	25	26	"bdi-1"	"usa"	54.83	60	"high risk"
"345"	"Lustman, 1998"	"cbt"	"cau"	36	0.344	0.103041	25	26	"bdi-1"	"usa"	54.83	60	"high risk"
"346"	"Lynch, 2020"	"other psy"	"cau"	0	-0.0988315506492599	0.0175561300364653	162	88	"hdrs-17"	"europe"	NA	66	"some concerns"
"347"	"Lynch, 2020"	"other psy"	"cau"	30	0.452267911324546	0.0249570315897334	162	88	"hdrs-17"	"europe"	NA	66	"some concerns"
"348"	"Lynch, 2020"	"other psy"	"cau"	52	0.163064777713118	0.0244295107779144	162	88	"hdrs-17"	"europe"	NA	66	"some concerns"
"349"	"Lynch, 2020"	"other psy"	"cau"	78	0.191134505159471	0.0272207707507892	162	88	"hdrs-17"	"europe"	NA	66	"some concerns"
"350"	"MacPherson, 2013"	"sup"	"cau"	0	0.0766355772168867	0.00994027881315114	302	151	"phq-9"	"europe"	43.5	73	"some concerns"
"351"	"MacPherson, 2013"	"sup"	"cau"	13	0.27819068221913	0.0121383627962523	302	151	"phq-9"	"europe"	43.5	73	"some concerns"
"352"	"MacPherson, 2013"	"sup"	"cau"	26	0.276	0.012769	302	151	"phq-9"	"europe"	43.5	73	"some concerns"
"353"	"MacPherson, 2013"	"sup"	"cau"	39	0.255	0.012996	302	151	"phq-9"	"europe"	43.5	73	"some concerns"
"354"	"MacPherson, 2013"	"sup"	"cau"	52	0.202	0.012996	302	151	"phq-9"	"europe"	43.5	73	"some concerns"
"355"	"Mahmoodi, 2021"	"cbt"	"wl"	0	0.179443838885708	0.096508059634581	25	25	"bdi-2"	"other"	27	53	"high risk"
"356"	"Mahmoodi, 2021"	"cbt"	"wl"	12	1.22918699252368	0.0929371978251634	25	25	"bdi-2"	"other"	27	53	"high risk"
"357"	"Mahmoodi, 2021"	"cbt"	"wl"	26	1.37617055436209	0.0967024999084114	25	25	"bdi-2"	"other"	27	53	"high risk"
"358"	"McCusker, 2021"	"cbt"	"wl"	0	-0.107314905869339	0.016352627883506	121	124	"ces-d"	"usa"	58	79	"some concerns"
"359"	"McCusker, 2021"	"cbt"	"wl"	13	0.450260793906291	0.0202118367418017	121	124	"ces-d"	"usa"	58	79	"some concerns"
"360"	"McCusker, 2021"	"cbt"	"wl"	26	0.660572023285565	0.0172250284722273	121	124	"ces-d"	"usa"	58	79	"some concerns"
"361"	"Mennen, 2021"	"ipt"	"cau"	0	0.0951827752304403	0.0347324375993523	49	70	"ces-d"	"usa"	33	100	"some concerns"
"362"	"Mennen, 2021"	"ipt"	"cau"	13	0.385415302826265	0.0353261128670218	49	70	"ces-d"	"usa"	33	100	"some concerns"
"363"	"Mennen, 2021"	"ipt"	"cau"	39	0.459667716307215	0.0355931863637561	49	70	"ces-d"	"usa"	33	100	"some concerns"
"364"	"Michalak, 2015"	"3rd"	"cau"	0	0.178955638474607	0.0565797377070502	36	35	"bdi-1"	"europe"	50.84	62	"low risk"
"365"	"Michalak, 2015"	"other psy"	"cau"	8	0.513717338712124	0.0564701058613479	36	35	"bdi-1"	"europe"	50.84	62	"low risk"
"366"	"Michalak, 2015"	"other psy"	"cau"	35	1.22999780437446	0.296185374501872	36	35	"bdi-1"	"europe"	50.84	62	"low risk"
"367"	"Milgrom, 2015b"	"cbt"	"cau"	0	-0.00766547040192768	0.0740746342626175	27	27	"bdi-2"	"other"	31.79	100	"high risk"
"368"	"Milgrom, 2015b"	"cbt"	"cau"	9	0.566	0.094864	27	27	"bdi-2"	"other"	31.79	100	"high risk"
"369"	"Milgrom, 2015b"	"cbt"	"cau"	39	0.642	0.146689	27	27	"bdi-2"	"other"	31.79	100	"high risk"
"370"	"Miranda, 2003"	"cbt"	"cau"	0	0.0325653379417977	0.0223500537618605	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"371"	"Miranda, 2003"	"cbt"	"cau"	9	0.047083089	0.022353328310987	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"372"	"Miranda, 2003"	"cbt"	"cau"	13	0.146293884	0.0224075236166792	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"373"	"Miranda, 2003"	"cbt"	"cau"	17	0.22868929	0.0224948028001556	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"374"	"Miranda, 2003"	"cbt"	"cau"	21	0.285861612	0.0225779047184538	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"375"	"Miranda, 2003"	"cbt"	"cau"	26	0.339670857	0.0226729878255725	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"376"	"Miranda, 2003"	"cbt"	"cau"	34	0.401887796	0.0228033197209978	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"377"	"Miranda, 2003"	"cbt"	"cau"	43	0.398524718	0.022795715608215	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"378"	"Miranda, 2003"	"cbt"	"cau"	52	0.327900084	0.0226507905992256	90	89	"hdrs-17"	"usa"	29.3	100	"some concerns"
"379"	"Montero-Marin, 2016"	"cbt"	"cau"	0	-0.00582050987897178	0.0305505039607028	96	102	"bdi-2"	"europe"	42.93	76	"low risk"
"380"	"Montero-Marin, 2016"	"cbt"	"cau"	13	0.0773538133610707	0.0305734797691788	96	102	"bdi-2"	"europe"	42.93	76	"low risk"
"381"	"Montero-Marin, 2016"	"cbt"	"cau"	26	0.382	0.030976	96	102	"bdi-2"	"europe"	42.93	76	"low risk"
"382"	"Montero-Marin, 2016"	"cbt"	"cau"	65	0.483	0.031329	96	102	"bdi-2"	"europe"	42.93	76	"low risk"
"383"	"Mossey, 1996"	"ipt"	"cau"	13	0.205110408032174	0.0761895092589463	44	45	"gds"	"usa"	71	78	"high risk"
"384"	"Mossey, 1996"	"ipt"	"cau"	26	0.253	0.076176	44	45	"gds"	"usa"	71	78	"high risk"
"385"	"Mueller-Weinitschke, 2023"	"bat"	"cau"	0	-0.21744532803181	0.0314369201660156	64	64	"phq-9"	"europe"	42	79	"low risk"
"386"	"Mueller-Weinitschke, 2023"	"bat"	"cau"	8	0.967454542700869	0.0349501312756147	64	64	"phq-9"	"europe"	42	79	"low risk"
