Parasite species,Phylum,Class,Family,Host species,Host taxon,CMean,CSD,CN,EMean,ESD,EN,Transmission by predation/vector or not,spontaneous or stimulus response,Behaviour details,Year of publication,Reference,Expected direction of change
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Stagnicola elodes,Mollusc,49,14.69693846,6,79,9.486832981,10,No,Response,"% time near water surface, darkness 20 degrees",1994,Lowenberger & Rau (1994),No change
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Stagnicola elodes,Mollusc,60,17.1464282,6,51,18.97366596,10,No,Response,"% time near water surface, light, 25 degrees",1994,Lowenberger & Rau (1994),No change
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Stagnicola elodes,Mollusc,58,9.797958971,6,86,9.486832981,10,No,Response,"% time near water surface, darkness 25 degrees",1994,Lowenberger & Rau (1994),No change
Syphacia muris,Nematoda,Secernentea,Oxyuridae,Rattus norvegicus,Mammal,32.5,6.080583854,15,33.04,6.661531355,15,No,Spontaneous,Time spent moving/active,1994,Webster (1994),No change
Syphacia muris,Nematoda,Secernentea,Oxyuridae,Rattus norvegicus,Mammal,33.27,5.538366185,15,36.74,9.9535672,15,No,Spontaneous,Time spent in nest,1994,Webster (1994),No change
Diphyllobothrium sp.,Platyhelminthes,Cestoda,Diphyllobothriidae,Cyclops strenuus,Crustacean,2.19,0.822192192,10,1.39,1.170042734,10,Yes,Spontaneous,Hops per time unit (activity),1995,Pasternak et al. (1995),Increase
Schistocephalus solidus,Platyhelminthes,Cestoda,Schistocephalidae,Macrocyclops sp.,Crustacean,25.87,15.99312352,58,18.7,4.67653718,12,Yes,Spontaneous,Time resisting water current (activity),1996,Wedekind & Milinski (1996),Increase
Toxocara canis,Nematoda,Secernentea,Toxocaridae,Mus musculus,Mammal,18.9,32.5,25,15.4,29.5,25,No,Spontaneous,Exploration time,1998,Cox & Holland (1998),No change
Toxocara canis,Nematoda,Secernentea,Toxocaridae,Mus musculus,Mammal,193,160,25,142,90,25,No,Response,Time on lighted side,1998,Cox & Holland (1998),No change
Ornithodiplostomum ptychocheilus,Platyhelminthes,Trematoda,Diplostomidae,Pimephales promelas,Fish,0.439,0.208710326,10,0.423,0.419828536,34,Yes,Spontaneous,Proportion of time spent active,2002,Shirakashi & Goater (2002),Increase
Ornithodiplostomum ptychocheilus,Platyhelminthes,Trematoda,Diplostomidae,Pimephales promelas,Fish,0.76,0.120166551,10,0.575,0.332364258,34,Yes,Response,Proportion of time spent following moving stripes,2002,Shirakashi & Goater (2002),Increase
Ornithodiplostomum ptychocheilus,Platyhelminthes,Trematoda,Diplostomidae,Pimephales promelas,Fish,13.5,19.3,10,10.2,10.4,34,Yes,Response,Response latency to movement,2002,Shirakashi & Goater (2002),Increase
Hymenolepid spp.,Platyhelminthes,Cestoda,Hymenolepididae,Chen caerulescens,Bird,2.3,1.870828693,14,4.5,0.331662479,11,No,Spontaneous,Time spent feeding,2002,Righi & Gauthier (2002),No change
Hymenolepid spp.,Platyhelminthes,Cestoda,Hymenolepididae,Chen caerulescens,Bird,57,18.70828693,14,392,56.38262144,11,No,Spontaneous,Pecking rate,2002,Righi & Gauthier (2002),No change
Hymenolepid spp.,Platyhelminthes,Cestoda,Hymenolepididae,Chen caerulescens,Bird,263,33.67491648,14,278,49.74937186,11,No,Spontaneous,Walking rate,2002,Righi & Gauthier (2002),No change
Microphallus sp.,Platyhelminthes,Trematoda,Microphallidae,Potamopyrgus antipodarum,Mollusc,7.57,11.47040104,261,5.06,5.854809988,68,Yes,Spontaneous,Distance travelled in light,2000,Levri & Fisher (2000),Increase
Microphallus sp.,Platyhelminthes,Trematoda,Microphallidae,Potamopyrgus antipodarum,Mollusc,6.32,11.47040104,261,4.38,5.854809988,68,Yes,Spontaneous,Distance travelled in dark,2000,Levri & Fisher (2000),No change
Triaenophorus crassus,Platyhelminthes,Cestoda,Triaenophoridae,Cyclops strenuus,Crustacean,8.95,12.17045603,7,31.95,15.78,9,Yes,Spontaneous,No. swimming starts by females 14 days PI,2000,Pulkkinen et al. (2000),Increase
Triaenophorus crassus,Platyhelminthes,Cestoda,Triaenophoridae,Cyclops strenuus,Crustacean,4.79,5.186135363,10,21.64,12.55424231,10,Yes,Spontaneous,No. swimming starts by males 14 days PI,2000,Pulkkinen et al. (2000),Increase
Triaenophorus crassus,Platyhelminthes,Cestoda,Triaenophoridae,Cyclops strenuus,Crustacean,12.7,18.46734415,7,96.2,77.1,9,Yes,Spontaneous,Time spent motionless by females 14 days PI,2000,Pulkkinen et al. (2000),Decrease
Triaenophorus crassus,Platyhelminthes,Cestoda,Triaenophoridae,Cyclops strenuus,Crustacean,4,12.33288287,10,73.85,88.54377448,10,Yes,Spontaneous,Time spent motionless by males 14 days PI,2000,Pulkkinen et al. (2000),Decrease
Parelaphostrongylus tenuis,Nematoda,Secernentea,Protostrongylidae,Mesodon sayanus,Mollusc,34.95,8.343895973,14,29.91,11.2316517,15,Yes,Spontaneous,height of attachment in adult in morning,2000,McCoy & Nudds (2000),Increase
Parelaphostrongylus tenuis,Nematoda,Secernentea,Protostrongylidae,Mesodon sayanus,Mollusc,32.37,5.500236359,14,27.28,11.2316517,15,Yes,Spontaneous,height of attachment in adult at midday,2000,McCoy & Nudds (2000),No change
Parelaphostrongylus tenuis,Nematoda,Secernentea,Protostrongylidae,Mesodon sayanus,Mollusc,26.92,5.013820898,14,24.06,11.19292187,15,Yes,Spontaneous,height of attachment in adult in afternoon,2000,McCoy & Nudds (2000),Increase
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformidae,Periplaneta americana,Insect,38.1,1.8,8,50.9,30,14,Yes,Response,Latency before response (leg movement) to stimulus,2000,Libersat & Moore (2000),Increase
Skrjabinoclava morrisoni,Nematoda,Secernentea,Acuariidae,Corophium volutator,Crustacean,90.5,25.3,18,88.3,29.15,65,Yes,Spontaneous,Length of crawling trail,1999,McCurdy et al. (1999),Increase
Skrjabinoclava morrisoni,Nematoda,Secernentea,Acuariidae,Corophium volutator,Crustacean,278.5,24.9,18,274.7,40,65,Yes,Spontaneous,Time spent crawling,1999,McCurdy et al. (1999),Increase
Skrjabinoclava morrisoni,Nematoda,Secernentea,Acuariidae,Corophium volutator,Crustacean,2.3,1.4,18,2.6,1.8,65,Yes,Response,No. burrows inspected/probed,1999,McCurdy et al. (1999),Decrease
Skrjabinoclava morrisoni,Nematoda,Secernentea,Acuariidae,Corophium volutator,Crustacean,6.9,3.1,18,5.7,2.9,65,Yes,Response,No. burrows passed over,1999,McCurdy et al. (1999),Increase
Diplostomum spathaceum,Platyhelminthes,Trematoda,Diplostomidae,Oncorhynchus mykiss,Fish,74.6,39.85253819,8,24.75,10.2,4,Yes,Response,Distance moved into deeper waters after disturbance,2004,Seppala et al. (2004),Decrease
Ornithodiplostomum ptychocheilus,Platyhelminthes,Trematoda,Diplostomidae,Pimephales promelas,Fish,0.54,0.17181944,12,0.351,0.165584057,12,Yes,Response,Proportion time following moving stripes by na´ve fish,2005,Shirakashi & Goater (2005),Increase
Cyathocephalus truncatus,Platyhelminthes,Cestoda,Cyathocephalidae,Gammarus pulex,Crustacean,21.99,14.80069512,86,18.07,13.99666121,69,Yes,Spontaneous,Swimming activity,2007,Franceschi et al. (2007),Increase
Maritrema novaezealandensis,Platyhelminthes,Trematoda,Microphallidae,Paracalliope novizealandiae,Crustacean,1.884,1.4,100,1.432,1.18,100,Yes,Spontaneous,Swimming activity at 6 weeks PI,2006,Leung & Poulin (2006),Increase
Maritrema novaezealandensis,Platyhelminthes,Trematoda,Microphallidae,Paracalliope novizealandiae,Crustacean,1.953,3.57,100,1.38,2.1,100,Yes,Response,Vertical position at 6 weeks PI,2006,Leung & Poulin (2006),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.166,0.664078309,90,0.325,0.637794638,62,Yes,Response,"Proportion time exposed, not under leaf cover (Exp 1)",2008,Benesh et al. (2008),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.212,0.447171108,42,0.269,0.408763991,48,Yes,Response,"Proportion time exposed, not covered (Exp 2, trial 1)",2008,Benesh et al. (2008),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.108,0.250156591,42,0.258,0.436476804,48,Yes,Response,"Proportion time exposed, not covered (Exp 2, trial 2)",2008,Benesh et al. (2008),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.045,0.049876648,23,0.115,0.132287566,28,Yes,Response,"Proportion time exposed, summer (Exp 1)",2009,Benesh et al. (2009),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.1218,0.109489726,37,0.1583,0.129,36,Yes,Response,"Proportion time exposed, fall (Exp 1)",2009,Benesh et al. (2009),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.157,0.129822956,24,0.444,0.2632,16,Yes,Response,"Proportion time exposed, spring (Exp 1)",2009,Benesh et al. (2009),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.0412,0.040282254,26,0.1563,0.157246812,29,Yes,Response,"Proportion time exposed, warm/light conditions (Exp 2)",2009,Benesh et al. (2009),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.1231,0.127,25,0.2186,0.172325274,29,Yes,Response,"Proportion time exposed, cold/dark conditions (Exp 2)",2009,Benesh et al. (2009),Increase
Acanthocephalus lucii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Asellus aquaticus,Crustacean,0.0799,0.092802155,26,0.2236,0.170433799,27,Yes,Response,"Proportion time exposed, overwinter conditions (Exp 2)",2009,Benesh et al. (2009),Increase
Schistocephalus solidus,Platyhelminthes,Cestoda,Schistocephalidae,Macrocyclops albidus,Crustacean,31.39,54.35175434,108,67.56,91.22365483,132,Yes,Response,"Latence time following fright, 15 days PI",2010,Benesh (2010),Increase
Schistocephalus solidus,Platyhelminthes,Cestoda,Schistocephalidae,Macrocyclops albidus,Crustacean,48.96,87.0875146,108,67.28,88.47775388,132,Yes,Response,"Latence time following fright, 20 days PI",2010,Benesh (2010),Increase
Schistocephalus solidus,Platyhelminthes,Cestoda,Schistocephalidae,Macrocyclops albidus,Crustacean,8.916,4.811637143,108,5.552,4.820836973,132,Yes,Spontaneous,"Time spent moving, 15 days PI",2010,Benesh (2010),Increase
Schistocephalus solidus,Platyhelminthes,Cestoda,Schistocephalidae,Macrocyclops albidus,Crustacean,7.492,4.69732179,108,4.38,4.205019857,132,Yes,Spontaneous,"Time spent moving, 20 days PI",2010,Benesh (2010),Increase
Microphallus sp.,Platyhelminthes,Trematoda,Microphallidae,Paracalliope fluviatilis,Crustacean,7.166,6.105,138,3.583,3.412,69,Yes,Response,Number of times in lighted area,2010,Coats et al. (2010),Increase
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Lymnaea stagnalis,Mollusc,1.4,0.5,6,1.5,0.4,6,No,Spontaneous,Visits toward food under light (no predator cues),2010,Voutilainen (2010),No change
Diplostomum pseudospathaceum,Platyhelminthes,Trematoda,Diplostomidae,Lymnaea stagnalis,Mollusc,1.4,0.5,6,0.4,0.6,6,No,Spontaneous,Visits toward food under light (no predator cues),2010,Voutilainen (2010),No change
Plagiorchis elegans,Platyhelminthes,Trematoda,Plagiorchidae,Lymnaea stagnalis,Mollusc,0.8,0.7,6,0.9,0.5,6,No,Spontaneous,Visits toward food in darkness (no predator cues),2010,Voutilainen (2010),No change
Diplostomum pseudospathaceum,Platyhelminthes,Trematoda,Diplostomidae,Lymnaea stagnalis,Mollusc,0.8,0.7,6,0.6,0.6,6,No,Spontaneous,Visits toward food in darkness (no predator cues),2010,Voutilainen (2010),No change
Acanthocephalus galaxii,Acanthocephala,Palaeacanthocephala,Echinorhynchidae,Paracalliope fluviatilis,Crustacean,5.68,3.748284045,538,7.304,3.231563089,30,Yes,Response,Phototaxis (high score = attraction to light),2011,Rauque et al. (2011),Increase
Microphallus sp.,Platyhelminthes,Trematoda,Microphallidae,Paracalliope fluviatilis,Crustacean,5.68,3.748284045,538,6.108,3.39927404,334,Yes,Response,Phototaxis (high score = attraction to light),2011,Rauque et al. (2011),Increase
Coitocaecum parvum,Platyhelminthes,Trematoda,Opecoelidae,Paracalliope fluviatilis,Crustacean,5.68,3.748284045,538,6.916,2.305054229,11,Yes,Response,Phototaxis (high score = attraction to light),2011,Rauque et al. (2011),Increase
Pterygodermatites peromysci,Nematoda,Secernentea,Rictulariidae,Ceuthophilus pallidipes,Insect,12.8,10.2,20,16.5,12.8,20,Yes,Spontaneous,Time needed to find a refuge,2011,Luong et al. (2011),Increase
Pterygodermatites peromysci,Nematoda,Secernentea,Rictulariidae,Ceuthophilus pallidipes,Insect,32.3,9,25,15.9,11.45643924,21,Yes,Response,No. jumps following touch stimulus (Exp 2),2011,Luong et al. (2011),Decrease
Pterygodermatites peromysci,Nematoda,Secernentea,Rictulariidae,Ceuthophilus pallidipes,Insect,22.3,7.410128204,19,25.2,7.273238618,10,Yes,Response,No. jumps following touch stimulus (Exp 3),2011,Luong et al. (2011),Decrease
Pterygodermatites peromysci,Nematoda,Secernentea,Rictulariidae,Ceuthophilus pallidipes,Insect,322.1,42.71720965,19,288.55,36.36619309,10,Yes,Response,Distance jumped following touch stimulus (Exp 3),2011,Luong et al. (2011),Decrease
Meiogymnophallus minutus,Platyhelminthes,Trematoda,Gymnophallidae,Cerastoderma edule,Mollusc,235.3,386.8397601,20,291.06,267.8809437,20,Yes,Spontaneous,Time until onset of burrowing (15 degrees),2011,Fermer et al. (2011),Increase
Meiogymnophallus minutus,Platyhelminthes,Trematoda,Gymnophallidae,Cerastoderma edule,Mollusc,158,144.8972049,20,255.3,230.5833298,20,Yes,Spontaneous,Time until onset of burrowing (20 degrees),2011,Fermer et al. (2011),Increase
Meiogymnophallus minutus,Platyhelminthes,Trematoda,Gymnophallidae,Cerastoderma edule,Mollusc,224.5,416.5347428,20,319.3,613.577053,20,Yes,Spontaneous,Time until onset of burrowing (25 degrees),2011,Fermer et al. (2011),Increase
Meiogymnophallus minutus,Platyhelminthes,Trematoda,Gymnophallidae,Cerastoderma edule,Mollusc,210.6,188.7241373,20,257.8,153.7073128,20,Yes,Spontaneous,Time to finish burrowing (15 degrees),2011,Fermer et al. (2011),Increase
Meiogymnophallus minutus,Platyhelminthes,Trematoda,Gymnophallidae,Cerastoderma edule,Mollusc,216.04,173.5188751,20,203.27,85.64140354,20,Yes,Spontaneous,Time to finish burrowing (20 degrees),2011,Fermer et al. (2011),Increase
Meiogymnophallus minutus,Platyhelminthes,Trematoda,Gymnophallidae,Cerastoderma edule,Mollusc,203.27,107.5995911,20,224.4,147.1332729,20,Yes,Spontaneous,Time to finish burrowing (25 degrees),2011,Fermer et al. (2011),Increase
Acanthocollaritrema umbilicatum,Platyhelminthes,Trematoda,Cryptogonimidae,Poecilia vivipara,Fish,82,7.126289357,15,83.54,7.784696526,15,Yes,Spontaneous,Time spent swimming,2011,Santos et al. (2011),Increase
Acanthocollaritrema umbilicatum,Platyhelminthes,Trematoda,Cryptogonimidae,Poecilia vivipara,Fish,42.5,12.08370804,15,42.5,12.16116771,15,Yes,Spontaneous,Time spent resting,2011,Santos et al. (2011),Decrease
Acanthocollaritrema umbilicatum,Platyhelminthes,Trematoda,Cryptogonimidae,Poecilia vivipara,Fish,12.415,0.553836619,15,12.23,0.356314468,15,Yes,Spontaneous,Average swimming speed,2011,Santos et al. (2011),Decrease
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,0.6,3.515622278,44,0.2,4.896988871,45,Yes,Response,"Conspecific attraction, clean water",2012,Durieux et al. (2012),No change
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,4.9,3.117627303,44,1.37,5.165317028,45,Yes,Response,"Conspecific attraction, scented water",2012,Durieux et al. (2012),No change
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,7.64,2.719632328,44,6.46,4.092004399,45,Yes,Spontaneous,"Activity (# lines crossed), clean water",2012,Durieux et al. (2012),Increase
Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala,Pomphorhynchidae,Gammarus pulex,Crustacean,5.84,3.31662479,44,4.89,3.488266045,45,Yes,Spontaneous,"Activity (# lines crossed), scented water",2012,Durieux et al. (2012),Increase
Schistocephalus solidus,Platyhelminthes,Cestoda,Schistocephalidae,Gasterosteus aculeatus,Fish,18.4,1.923018461,20,19.71,0.979795897,6,Yes,Response,Thermal preference (mean chosen temperature),2012,MacNab & Barber (2012),No change
